Iteration 00000    Loss 0.099387   PSNR_noisy: 10.026722   PSRN_gt: 10.026722 PSNR_gt_sm: 10.026722
Iteration 00001    Loss 0.057865   PSNR_noisy: 12.375855   PSRN_gt: 12.375855 PSNR_gt_sm: 10.056266
Iteration 00002    Loss 0.050532   PSNR_noisy: 12.964332   PSRN_gt: 12.964332 PSNR_gt_sm: 10.100324
Iteration 00003    Loss 0.047498   PSNR_noisy: 13.233287   PSRN_gt: 13.233287 PSNR_gt_sm: 10.158113
Iteration 00004    Loss 0.028093   PSNR_noisy: 15.513949   PSRN_gt: 15.513949 PSNR_gt_sm: 10.231508
Iteration 00005    Loss 0.015223   PSNR_noisy: 18.174979   PSRN_gt: 18.174979 PSNR_gt_sm: 10.318863
Iteration 00006    Loss 0.016503   PSNR_noisy: 17.824469   PSRN_gt: 17.824469 PSNR_gt_sm: 10.408470
Iteration 00007    Loss 0.013659   PSNR_noisy: 18.645841   PSRN_gt: 18.645841 PSNR_gt_sm: 10.498980
Iteration 00008    Loss 0.011165   PSNR_noisy: 19.521369   PSRN_gt: 19.521369 PSNR_gt_sm: 10.588983
Iteration 00009    Loss 0.010043   PSNR_noisy: 19.981388   PSRN_gt: 19.981388 PSNR_gt_sm: 10.677710
Iteration 00010    Loss 0.008599   PSNR_noisy: 20.655508   PSRN_gt: 20.655508 PSNR_gt_sm: 10.768133
Iteration 00011    Loss 0.009577   PSNR_noisy: 20.187723   PSRN_gt: 20.187723 PSNR_gt_sm: 10.859922
Iteration 00012    Loss 0.007850   PSNR_noisy: 21.051546   PSRN_gt: 21.051546 PSNR_gt_sm: 10.951421
Iteration 00013    Loss 0.006439   PSNR_noisy: 21.911796   PSRN_gt: 21.911796 PSNR_gt_sm: 11.035457
Iteration 00014    Loss 0.007193   PSNR_noisy: 21.430760   PSRN_gt: 21.430760 PSNR_gt_sm: 11.114220
Iteration 00015    Loss 0.006068   PSNR_noisy: 22.169481   PSRN_gt: 22.169481 PSNR_gt_sm: 11.195768
Iteration 00016    Loss 0.006152   PSNR_noisy: 22.109557   PSRN_gt: 22.109557 PSNR_gt_sm: 11.280451
Iteration 00017    Loss 0.006293   PSNR_noisy: 22.011313   PSRN_gt: 22.011313 PSNR_gt_sm: 11.365574
Iteration 00018    Loss 0.006123   PSNR_noisy: 22.130225   PSRN_gt: 22.130225 PSNR_gt_sm: 11.452565
Iteration 00019    Loss 0.005699   PSNR_noisy: 22.441651   PSRN_gt: 22.441651 PSNR_gt_sm: 11.541087
Iteration 00020    Loss 0.006106   PSNR_noisy: 22.142528   PSRN_gt: 22.142528 PSNR_gt_sm: 11.631066
Iteration 00021    Loss 0.005248   PSNR_noisy: 22.800384   PSRN_gt: 22.800384 PSNR_gt_sm: 11.720970
Iteration 00022    Loss 0.005266   PSNR_noisy: 22.785060   PSRN_gt: 22.785060 PSNR_gt_sm: 11.807622
Iteration 00023    Loss 0.004967   PSNR_noisy: 23.038712   PSRN_gt: 23.038712 PSNR_gt_sm: 11.894939
Iteration 00024    Loss 0.004656   PSNR_noisy: 23.320085   PSRN_gt: 23.320085 PSNR_gt_sm: 11.981149
Iteration 00025    Loss 0.004483   PSNR_noisy: 23.484277   PSRN_gt: 23.484277 PSNR_gt_sm: 12.068008
Iteration 00026    Loss 0.004240   PSNR_noisy: 23.726247   PSRN_gt: 23.726247 PSNR_gt_sm: 12.150942
Iteration 00027    Loss 0.004456   PSNR_noisy: 23.510535   PSRN_gt: 23.510535 PSNR_gt_sm: 12.234877
Iteration 00028    Loss 0.004190   PSNR_noisy: 23.778310   PSRN_gt: 23.778310 PSNR_gt_sm: 12.318804
Iteration 00029    Loss 0.004500   PSNR_noisy: 23.468303   PSRN_gt: 23.468303 PSNR_gt_sm: 12.400980
Iteration 00030    Loss 0.004215   PSNR_noisy: 23.752218   PSRN_gt: 23.752218 PSNR_gt_sm: 12.486576
Iteration 00031    Loss 0.003839   PSNR_noisy: 24.157275   PSRN_gt: 24.157275 PSNR_gt_sm: 12.573337
Iteration 00032    Loss 0.003984   PSNR_noisy: 23.996358   PSRN_gt: 23.996358 PSNR_gt_sm: 12.657949
Iteration 00033    Loss 0.003793   PSNR_noisy: 24.209992   PSRN_gt: 24.209992 PSNR_gt_sm: 12.741095
Iteration 00034    Loss 0.003530   PSNR_noisy: 24.522476   PSRN_gt: 24.522476 PSNR_gt_sm: 12.825867
Iteration 00035    Loss 0.003748   PSNR_noisy: 24.262324   PSRN_gt: 24.262324 PSNR_gt_sm: 12.909681
