Iteration 00050    Loss 0.056185   PSNR_noisy: 12.503812   PSRN_gt: 12.503812 PSNR_gt_sm: 9.496894
Iteration 00051    Loss 0.050885   PSNR_noisy: 12.934126   PSRN_gt: 12.934126 PSNR_gt_sm: 9.542303
Iteration 00052    Loss 0.052256   PSNR_noisy: 12.818623   PSRN_gt: 12.818623 PSNR_gt_sm: 9.587434
Iteration 00053    Loss 0.055686   PSNR_noisy: 12.542513   PSRN_gt: 12.542513 PSNR_gt_sm: 9.631399
Iteration 00054    Loss 0.058230   PSNR_noisy: 12.348503   PSRN_gt: 12.348503 PSNR_gt_sm: 9.673224
Iteration 00055    Loss 0.057525   PSNR_noisy: 12.401423   PSRN_gt: 12.401423 PSNR_gt_sm: 9.714594
Iteration 00056    Loss 0.050388   PSNR_noisy: 12.976694   PSRN_gt: 12.976694 PSNR_gt_sm: 9.758735
Iteration 00057    Loss 0.055872   PSNR_noisy: 12.528091   PSRN_gt: 12.528091 PSNR_gt_sm: 9.799267
Iteration 00058    Loss 0.053179   PSNR_noisy: 12.742576   PSRN_gt: 12.742576 PSNR_gt_sm: 9.841561
Iteration 00059    Loss 0.047130   PSNR_noisy: 13.267030   PSRN_gt: 13.267030 PSNR_gt_sm: 9.886047
Iteration 00060    Loss 0.047776   PSNR_noisy: 13.207870   PSRN_gt: 13.207870 PSNR_gt_sm: 9.930898
Iteration 00061    Loss 0.047897   PSNR_noisy: 13.196940   PSRN_gt: 13.196940 PSNR_gt_sm: 9.975989
Iteration 00062    Loss 0.056739   PSNR_noisy: 12.461148   PSRN_gt: 12.461148 PSNR_gt_sm: 10.017308
Iteration 00063    Loss 0.051657   PSNR_noisy: 12.868719   PSRN_gt: 12.868719 PSNR_gt_sm: 10.060009
Iteration 00064    Loss 0.047173   PSNR_noisy: 13.263056   PSRN_gt: 13.263056 PSNR_gt_sm: 10.104484
Iteration 00065    Loss 0.049320   PSNR_noisy: 13.069764   PSRN_gt: 13.069764 PSNR_gt_sm: 10.147437
Iteration 00066    Loss 0.047065   PSNR_noisy: 13.272988   PSRN_gt: 13.272988 PSNR_gt_sm: 10.190620
Iteration 00067    Loss 0.052609   PSNR_noisy: 12.789363   PSRN_gt: 12.789363 PSNR_gt_sm: 10.230712
Iteration 00068    Loss 0.051522   PSNR_noisy: 12.880078   PSRN_gt: 12.880078 PSNR_gt_sm: 10.271231
Iteration 00069    Loss 0.046876   PSNR_noisy: 13.290450   PSRN_gt: 13.290450 PSNR_gt_sm: 10.312332
Iteration 00070    Loss 0.045062   PSNR_noisy: 13.461936   PSRN_gt: 13.461936 PSNR_gt_sm: 10.355181
Iteration 00071    Loss 0.045116   PSNR_noisy: 13.456702   PSRN_gt: 13.456702 PSNR_gt_sm: 10.398272
Iteration 00072    Loss 0.045193   PSNR_noisy: 13.449255   PSRN_gt: 13.449255 PSNR_gt_sm: 10.440326
Iteration 00073    Loss 0.046393   PSNR_noisy: 13.335496   PSRN_gt: 13.335496 PSNR_gt_sm: 10.480737
Iteration 00074    Loss 0.046659   PSNR_noisy: 13.310688   PSRN_gt: 13.310688 PSNR_gt_sm: 10.521300
Iteration 00075    Loss 0.044368   PSNR_noisy: 13.529317   PSRN_gt: 13.529317 PSNR_gt_sm: 10.562530
Iteration 00076    Loss 0.045471   PSNR_noisy: 13.422675   PSRN_gt: 13.422675 PSNR_gt_sm: 10.603537
Iteration 00077    Loss 0.044970   PSNR_noisy: 13.470800   PSRN_gt: 13.470800 PSNR_gt_sm: 10.644439
Iteration 00078    Loss 0.045833   PSNR_noisy: 13.388186   PSRN_gt: 13.388186 PSNR_gt_sm: 10.684304
Iteration 00079    Loss 0.046119   PSNR_noisy: 13.361241   PSRN_gt: 13.361241 PSNR_gt_sm: 10.724358
Iteration 00080    Loss 0.042078   PSNR_noisy: 13.759458   PSRN_gt: 13.759458 PSNR_gt_sm: 10.765627
Iteration 00081    Loss 0.041132   PSNR_noisy: 13.858196   PSRN_gt: 13.858196 PSNR_gt_sm: 10.806616
Iteration 00082    Loss 0.041143   PSNR_noisy: 13.857080   PSRN_gt: 13.857080 PSNR_gt_sm: 10.847905
