Iteration 00000    Loss 0.149281   PSNR_noisy: 8.259941   PSRN_gt: 8.259941 PSNR_gt_sm: 8.259941
Iteration 00001    Loss 0.086705   PSNR_noisy: 10.619582   PSRN_gt: 10.619582 PSNR_gt_sm: 8.286897
Iteration 00002    Loss 0.066394   PSNR_noisy: 11.778685   PSRN_gt: 11.778685 PSNR_gt_sm: 8.330112
Iteration 00003    Loss 0.036762   PSNR_noisy: 14.346063   PSRN_gt: 14.346063 PSNR_gt_sm: 8.389199
Iteration 00004    Loss 0.023707   PSNR_noisy: 16.251181   PSRN_gt: 16.251181 PSNR_gt_sm: 8.462082
Iteration 00005    Loss 0.018645   PSNR_noisy: 17.294468   PSRN_gt: 17.294468 PSNR_gt_sm: 8.549358
Iteration 00006    Loss 0.016624   PSNR_noisy: 17.792581   PSRN_gt: 17.792581 PSNR_gt_sm: 8.641863
Iteration 00007    Loss 0.015352   PSNR_noisy: 18.138472   PSRN_gt: 18.138472 PSNR_gt_sm: 8.734778
Iteration 00008    Loss 0.012329   PSNR_noisy: 19.090563   PSRN_gt: 19.090563 PSNR_gt_sm: 8.821391
Iteration 00009    Loss 0.012426   PSNR_noisy: 19.056645   PSRN_gt: 19.056645 PSNR_gt_sm: 8.901168
Iteration 00010    Loss 0.011627   PSNR_noisy: 19.345348   PSRN_gt: 19.345348 PSNR_gt_sm: 8.977531
Iteration 00011    Loss 0.010595   PSNR_noisy: 19.748820   PSRN_gt: 19.748820 PSNR_gt_sm: 9.059872
Iteration 00012    Loss 0.010783   PSNR_noisy: 19.672493   PSRN_gt: 19.672493 PSNR_gt_sm: 9.144506
Iteration 00013    Loss 0.011298   PSNR_noisy: 19.469795   PSRN_gt: 19.469795 PSNR_gt_sm: 9.232165
Iteration 00014    Loss 0.010275   PSNR_noisy: 19.882348   PSRN_gt: 19.882348 PSNR_gt_sm: 9.317255
Iteration 00015    Loss 0.010482   PSNR_noisy: 19.795471   PSRN_gt: 19.795471 PSNR_gt_sm: 9.400002
Iteration 00016    Loss 0.009944   PSNR_noisy: 20.024300   PSRN_gt: 20.024300 PSNR_gt_sm: 9.479266
Iteration 00017    Loss 0.010109   PSNR_noisy: 19.952806   PSRN_gt: 19.952806 PSNR_gt_sm: 9.557182
Iteration 00018    Loss 0.009213   PSNR_noisy: 20.356205   PSRN_gt: 20.356205 PSNR_gt_sm: 9.636383
Iteration 00019    Loss 0.009290   PSNR_noisy: 20.319944   PSRN_gt: 20.319944 PSNR_gt_sm: 9.718561
Iteration 00020    Loss 0.008608   PSNR_noisy: 20.651066   PSRN_gt: 20.651066 PSNR_gt_sm: 9.801871
Iteration 00021    Loss 0.008322   PSNR_noisy: 20.797497   PSRN_gt: 20.797497 PSNR_gt_sm: 9.887903
Iteration 00022    Loss 0.007870   PSNR_noisy: 21.040124   PSRN_gt: 21.040124 PSNR_gt_sm: 9.971724
Iteration 00023    Loss 0.007587   PSNR_noisy: 21.199415   PSRN_gt: 21.199415 PSNR_gt_sm: 10.054281
