Iteration 00000    Loss 0.094586   PSNR_noisy: 10.241753   PSRN_gt: 10.241753 PSNR_gt_sm: 10.241753
Iteration 00001    Loss 0.054881   PSNR_noisy: 12.605756   PSRN_gt: 12.605756 PSNR_gt_sm: 10.271438
Iteration 00002    Loss 0.063921   PSNR_noisy: 11.943531   PSRN_gt: 11.943531 PSNR_gt_sm: 10.311665
Iteration 00003    Loss 0.036013   PSNR_noisy: 14.435360   PSRN_gt: 14.435360 PSNR_gt_sm: 10.372833
Iteration 00004    Loss 0.025321   PSNR_noisy: 15.965263   PSRN_gt: 15.965263 PSNR_gt_sm: 10.444872
Iteration 00005    Loss 0.017343   PSNR_noisy: 17.608860   PSRN_gt: 17.608860 PSNR_gt_sm: 10.524192
Iteration 00006    Loss 0.017302   PSNR_noisy: 17.619161   PSRN_gt: 17.619161 PSNR_gt_sm: 10.609420
Iteration 00007    Loss 0.013225   PSNR_noisy: 18.785898   PSRN_gt: 18.785898 PSNR_gt_sm: 10.693752
Iteration 00008    Loss 0.015568   PSNR_noisy: 18.077738   PSRN_gt: 18.077738 PSNR_gt_sm: 10.779985
Iteration 00009    Loss 0.010891   PSNR_noisy: 19.629147   PSRN_gt: 19.629147 PSNR_gt_sm: 10.865492
Iteration 00010    Loss 0.010087   PSNR_noisy: 19.962397   PSRN_gt: 19.962397 PSNR_gt_sm: 10.949341
Iteration 00011    Loss 0.008054   PSNR_noisy: 20.939632   PSRN_gt: 20.939632 PSNR_gt_sm: 11.033520
Iteration 00012    Loss 0.007494   PSNR_noisy: 21.253033   PSRN_gt: 21.253033 PSNR_gt_sm: 11.118066
Iteration 00013    Loss 0.007511   PSNR_noisy: 21.243230   PSRN_gt: 21.243230 PSNR_gt_sm: 11.202821
Iteration 00014    Loss 0.006861   PSNR_noisy: 21.635968   PSRN_gt: 21.635968 PSNR_gt_sm: 11.287956
Iteration 00015    Loss 0.006256   PSNR_noisy: 22.036973   PSRN_gt: 22.036973 PSNR_gt_sm: 11.373329
Iteration 00016    Loss 0.005988   PSNR_noisy: 22.227030   PSRN_gt: 22.227030 PSNR_gt_sm: 11.458709
Iteration 00017    Loss 0.005798   PSNR_noisy: 22.367316   PSRN_gt: 22.367316 PSNR_gt_sm: 11.542757
Iteration 00018    Loss 0.005418   PSNR_noisy: 22.661367   PSRN_gt: 22.661367 PSNR_gt_sm: 11.627070
Iteration 00019    Loss 0.004758   PSNR_noisy: 23.225465   PSRN_gt: 23.225465 PSNR_gt_sm: 11.712068
Iteration 00020    Loss 0.004913   PSNR_noisy: 23.086872   PSRN_gt: 23.086872 PSNR_gt_sm: 11.795949
Iteration 00021    Loss 0.004584   PSNR_noisy: 23.387926   PSRN_gt: 23.387926 PSNR_gt_sm: 11.881744
Iteration 00022    Loss 0.004261   PSNR_noisy: 23.704918   PSRN_gt: 23.704918 PSNR_gt_sm: 11.966888
Iteration 00023    Loss 0.004232   PSNR_noisy: 23.735046   PSRN_gt: 23.735046 PSNR_gt_sm: 12.052605
Iteration 00024    Loss 0.004389   PSNR_noisy: 23.576543   PSRN_gt: 23.576543 PSNR_gt_sm: 12.136398
Iteration 00025    Loss 0.003750   PSNR_noisy: 24.259320   PSRN_gt: 24.259320 PSNR_gt_sm: 12.220952
Iteration 00026    Loss 0.003757   PSNR_noisy: 24.251323   PSRN_gt: 24.251323 PSNR_gt_sm: 12.306149
Iteration 00027    Loss 0.003575   PSNR_noisy: 24.467648   PSRN_gt: 24.467648 PSNR_gt_sm: 12.389204
Iteration 00028    Loss 0.003558   PSNR_noisy: 24.487427   PSRN_gt: 24.487427 PSNR_gt_sm: 12.472865
Iteration 00029    Loss 0.003815   PSNR_noisy: 24.184801   PSRN_gt: 24.184801 PSNR_gt_sm: 12.555771
Iteration 00030    Loss 0.003487   PSNR_noisy: 24.575946   PSRN_gt: 24.575946 PSNR_gt_sm: 12.639321
Iteration 00031    Loss 0.003548   PSNR_noisy: 24.500482   PSRN_gt: 24.500482 PSNR_gt_sm: 12.722252
Iteration 00032    Loss 0.003418   PSNR_noisy: 24.661971   PSRN_gt: 24.661971 PSNR_gt_sm: 12.805210
Iteration 00033    Loss 0.003482   PSNR_noisy: 24.582011   PSRN_gt: 24.582011 PSNR_gt_sm: 12.889137
Iteration 00034    Loss 0.002866   PSNR_noisy: 25.426628   PSRN_gt: 25.426628 PSNR_gt_sm: 12.973713
Iteration 00035    Loss 0.002930   PSNR_noisy: 25.330892   PSRN_gt: 25.330892 PSNR_gt_sm: 13.059391
Iteration 00036    Loss 0.003059   PSNR_noisy: 25.143739   PSRN_gt: 25.143739 PSNR_gt_sm: 13.142921
Iteration 00037    Loss 0.002899   PSNR_noisy: 25.377160   PSRN_gt: 25.377160 PSNR_gt_sm: 13.226286
Iteration 00038    Loss 0.002675   PSNR_noisy: 25.727376   PSRN_gt: 25.727376 PSNR_gt_sm: 13.310377
Iteration 00039    Loss 0.002981   PSNR_noisy: 25.256591   PSRN_gt: 25.256591 PSNR_gt_sm: 13.394171
Iteration 00040    Loss 0.002947   PSNR_noisy: 25.305964   PSRN_gt: 25.305964 PSNR_gt_sm: 13.476280
Iteration 00041    Loss 0.002920   PSNR_noisy: 25.346647   PSRN_gt: 25.346647 PSNR_gt_sm: 13.558109
Iteration 00042    Loss 0.002621   PSNR_noisy: 25.814892   PSRN_gt: 25.814892 PSNR_gt_sm: 13.639469
Iteration 00043    Loss 0.003116   PSNR_noisy: 25.063750   PSRN_gt: 25.063750 PSNR_gt_sm: 13.720056
Iteration 00044    Loss 0.002743   PSNR_noisy: 25.617851   PSRN_gt: 25.617851 PSNR_gt_sm: 13.801796
Iteration 00045    Loss 0.002470   PSNR_noisy: 26.073734   PSRN_gt: 26.073734 PSNR_gt_sm: 13.885029
Iteration 00046    Loss 0.002811   PSNR_noisy: 25.512072   PSRN_gt: 25.512072 PSNR_gt_sm: 13.968067
Iteration 00047    Loss 0.002739   PSNR_noisy: 25.624788   PSRN_gt: 25.624788 PSNR_gt_sm: 14.051520
Iteration 00048    Loss 0.002663   PSNR_noisy: 25.746713   PSRN_gt: 25.746713 PSNR_gt_sm: 14.136333
Iteration 00049    Loss 0.002422   PSNR_noisy: 26.158730   PSRN_gt: 26.158730 PSNR_gt_sm: 14.220426
Iteration 00050    Loss 0.002310   PSNR_noisy: 26.364109   PSRN_gt: 26.364109 PSNR_gt_sm: 14.303800
Iteration 00051    Loss 0.002601   PSNR_noisy: 25.849231   PSRN_gt: 25.849231 PSNR_gt_sm: 14.386511
Iteration 00052    Loss 0.002549   PSNR_noisy: 25.936537   PSRN_gt: 25.936537 PSNR_gt_sm: 14.468195
Iteration 00053    Loss 0.002388   PSNR_noisy: 26.220231   PSRN_gt: 26.220231 PSNR_gt_sm: 14.551547
Iteration 00054    Loss 0.002310   PSNR_noisy: 26.363206   PSRN_gt: 26.363206 PSNR_gt_sm: 14.633237
Iteration 00055    Loss 0.002489   PSNR_noisy: 26.039953   PSRN_gt: 26.039953 PSNR_gt_sm: 14.715637
Iteration 00056    Loss 0.002476   PSNR_noisy: 26.062934   PSRN_gt: 26.062934 PSNR_gt_sm: 14.798406
Iteration 00057    Loss 0.002207   PSNR_noisy: 26.562463   PSRN_gt: 26.562463 PSNR_gt_sm: 14.880705
Iteration 00058    Loss 0.002212   PSNR_noisy: 26.551168   PSRN_gt: 26.551168 PSNR_gt_sm: 14.961866
Iteration 00059    Loss 0.002198   PSNR_noisy: 26.579482   PSRN_gt: 26.579482 PSNR_gt_sm: 15.044609
Iteration 00060    Loss 0.002134   PSNR_noisy: 26.708317   PSRN_gt: 26.708317 PSNR_gt_sm: 15.127008
Iteration 00061    Loss 0.002252   PSNR_noisy: 26.475039   PSRN_gt: 26.475039 PSNR_gt_sm: 15.210080
Iteration 00062    Loss 0.002121   PSNR_noisy: 26.734590   PSRN_gt: 26.734590 PSNR_gt_sm: 15.293452
Iteration 00063    Loss 0.002073   PSNR_noisy: 26.834017   PSRN_gt: 26.834017 PSNR_gt_sm: 15.377931
Iteration 00064    Loss 0.002024   PSNR_noisy: 26.937333   PSRN_gt: 26.937333 PSNR_gt_sm: 15.460795
Iteration 00065    Loss 0.002149   PSNR_noisy: 26.678244   PSRN_gt: 26.678244 PSNR_gt_sm: 15.542539
Iteration 00066    Loss 0.002014   PSNR_noisy: 26.958650   PSRN_gt: 26.958650 PSNR_gt_sm: 15.623645
Iteration 00067    Loss 0.001993   PSNR_noisy: 27.005717   PSRN_gt: 27.005717 PSNR_gt_sm: 15.704465
Iteration 00068    Loss 0.002005   PSNR_noisy: 26.978363   PSRN_gt: 26.978363 PSNR_gt_sm: 15.785614
Iteration 00069    Loss 0.001974   PSNR_noisy: 27.045887   PSRN_gt: 27.045887 PSNR_gt_sm: 15.867502
Iteration 00070    Loss 0.001976   PSNR_noisy: 27.041649   PSRN_gt: 27.041649 PSNR_gt_sm: 15.949354
Iteration 00071    Loss 0.001927   PSNR_noisy: 27.150208   PSRN_gt: 27.150208 PSNR_gt_sm: 16.030760
Iteration 00072    Loss 0.001964   PSNR_noisy: 27.068130   PSRN_gt: 27.068130 PSNR_gt_sm: 16.112424
