Iteration 00000    Loss 0.079935   PSNR_noisy: 10.972620   PSRN_gt: 10.972620 PSNR_gt_sm: 10.972620
Iteration 00001    Loss 0.043060   PSNR_noisy: 13.659292   PSRN_gt: 13.659292 PSNR_gt_sm: 11.007053
Iteration 00002    Loss 0.060954   PSNR_noisy: 12.149959   PSRN_gt: 12.149959 PSNR_gt_sm: 11.048138
Iteration 00003    Loss 0.032294   PSNR_noisy: 14.908848   PSRN_gt: 14.908848 PSNR_gt_sm: 11.112030
Iteration 00004    Loss 0.040936   PSNR_noisy: 13.878987   PSRN_gt: 13.878987 PSNR_gt_sm: 11.181317
Iteration 00005    Loss 0.023011   PSNR_noisy: 16.380584   PSRN_gt: 16.380584 PSNR_gt_sm: 11.267202
Iteration 00006    Loss 0.025033   PSNR_noisy: 16.014799   PSRN_gt: 16.014799 PSNR_gt_sm: 11.346541
Iteration 00007    Loss 0.018130   PSNR_noisy: 17.415915   PSRN_gt: 17.415915 PSNR_gt_sm: 11.429410
Iteration 00008    Loss 0.014965   PSNR_noisy: 18.249113   PSRN_gt: 18.249113 PSNR_gt_sm: 11.515048
Iteration 00009    Loss 0.014364   PSNR_noisy: 18.427334   PSRN_gt: 18.427334 PSNR_gt_sm: 11.598597
Iteration 00010    Loss 0.013030   PSNR_noisy: 18.850691   PSRN_gt: 18.850691 PSNR_gt_sm: 11.678079
Iteration 00011    Loss 0.011008   PSNR_noisy: 19.582985   PSRN_gt: 19.582985 PSNR_gt_sm: 11.756351
Iteration 00012    Loss 0.009795   PSNR_noisy: 20.090176   PSRN_gt: 20.090176 PSNR_gt_sm: 11.835914
Iteration 00013    Loss 0.008764   PSNR_noisy: 20.573103   PSRN_gt: 20.573103 PSNR_gt_sm: 11.915731
Iteration 00014    Loss 0.008762   PSNR_noisy: 20.573776   PSRN_gt: 20.573776 PSNR_gt_sm: 11.995568
Iteration 00015    Loss 0.007065   PSNR_noisy: 21.509021   PSRN_gt: 21.509021 PSNR_gt_sm: 12.077173
Iteration 00016    Loss 0.007744   PSNR_noisy: 21.110162   PSRN_gt: 21.110162 PSNR_gt_sm: 12.157879
Iteration 00017    Loss 0.006724   PSNR_noisy: 21.723900   PSRN_gt: 21.723900 PSNR_gt_sm: 12.242052
Iteration 00018    Loss 0.006209   PSNR_noisy: 22.069733   PSRN_gt: 22.069733 PSNR_gt_sm: 12.325686
Iteration 00019    Loss 0.006000   PSNR_noisy: 22.218169   PSRN_gt: 22.218169 PSNR_gt_sm: 12.408976
Iteration 00020    Loss 0.005562   PSNR_noisy: 22.547355   PSRN_gt: 22.547355 PSNR_gt_sm: 12.493459
Iteration 00021    Loss 0.005682   PSNR_noisy: 22.454986   PSRN_gt: 22.454986 PSNR_gt_sm: 12.578747
Iteration 00022    Loss 0.005499   PSNR_noisy: 22.597339   PSRN_gt: 22.597339 PSNR_gt_sm: 12.663097
Iteration 00023    Loss 0.005704   PSNR_noisy: 22.438360   PSRN_gt: 22.438360 PSNR_gt_sm: 12.745886
Iteration 00024    Loss 0.005240   PSNR_noisy: 22.806380   PSRN_gt: 22.806380 PSNR_gt_sm: 12.828399
Iteration 00025    Loss 0.005213   PSNR_noisy: 22.829104   PSRN_gt: 22.829104 PSNR_gt_sm: 12.909450
Iteration 00026    Loss 0.005410   PSNR_noisy: 22.667645   PSRN_gt: 22.667645 PSNR_gt_sm: 12.988932
Iteration 00027    Loss 0.005158   PSNR_noisy: 22.875146   PSRN_gt: 22.875146 PSNR_gt_sm: 13.069006
Iteration 00028    Loss 0.005282   PSNR_noisy: 22.771979   PSRN_gt: 22.771979 PSNR_gt_sm: 13.148689
Iteration 00029    Loss 0.004800   PSNR_noisy: 23.187367   PSRN_gt: 23.187367 PSNR_gt_sm: 13.229531
Iteration 00030    Loss 0.004865   PSNR_noisy: 23.129119   PSRN_gt: 23.129119 PSNR_gt_sm: 13.312038
Iteration 00031    Loss 0.004889   PSNR_noisy: 23.107677   PSRN_gt: 23.107677 PSNR_gt_sm: 13.395352
Iteration 00032    Loss 0.005039   PSNR_noisy: 22.976398   PSRN_gt: 22.976398 PSNR_gt_sm: 13.478480
Iteration 00033    Loss 0.004917   PSNR_noisy: 23.083179   PSRN_gt: 23.083179 PSNR_gt_sm: 13.561790
Iteration 00034    Loss 0.004670   PSNR_noisy: 23.306719   PSRN_gt: 23.306719 PSNR_gt_sm: 13.644593
Iteration 00035    Loss 0.004463   PSNR_noisy: 23.503848   PSRN_gt: 23.503848 PSNR_gt_sm: 13.727513
Iteration 00036    Loss 0.004466   PSNR_noisy: 23.500699   PSRN_gt: 23.500699 PSNR_gt_sm: 13.809423
Iteration 00037    Loss 0.004353   PSNR_noisy: 23.611625   PSRN_gt: 23.611625 PSNR_gt_sm: 13.890748
Iteration 00038    Loss 0.004302   PSNR_noisy: 23.663087   PSRN_gt: 23.663087 PSNR_gt_sm: 13.970615
Iteration 00039    Loss 0.004472   PSNR_noisy: 23.494882   PSRN_gt: 23.494882 PSNR_gt_sm: 14.049298
Iteration 00040    Loss 0.004375   PSNR_noisy: 23.590073   PSRN_gt: 23.590073 PSNR_gt_sm: 14.127133
Iteration 00041    Loss 0.004095   PSNR_noisy: 23.877670   PSRN_gt: 23.877670 PSNR_gt_sm: 14.205035
Iteration 00042    Loss 0.004210   PSNR_noisy: 23.757286   PSRN_gt: 23.757286 PSNR_gt_sm: 14.283906
Iteration 00043    Loss 0.004283   PSNR_noisy: 23.682817   PSRN_gt: 23.682817 PSNR_gt_sm: 14.364445
Iteration 00044    Loss 0.004155   PSNR_noisy: 23.814127   PSRN_gt: 23.814127 PSNR_gt_sm: 14.446147
Iteration 00045    Loss 0.004083   PSNR_noisy: 23.890446   PSRN_gt: 23.890446 PSNR_gt_sm: 14.528186
Iteration 00046    Loss 0.004030   PSNR_noisy: 23.947364   PSRN_gt: 23.947364 PSNR_gt_sm: 14.610579
Iteration 00047    Loss 0.004103   PSNR_noisy: 23.869322   PSRN_gt: 23.869322 PSNR_gt_sm: 14.692977
Iteration 00048    Loss 0.003998   PSNR_noisy: 23.981126   PSRN_gt: 23.981126 PSNR_gt_sm: 14.774596
Iteration 00049    Loss 0.004265   PSNR_noisy: 23.700480   PSRN_gt: 23.700480 PSNR_gt_sm: 14.854488
Iteration 00050    Loss 0.003940   PSNR_noisy: 24.044969   PSRN_gt: 24.044969 PSNR_gt_sm: 14.934622
Iteration 00051    Loss 0.004021   PSNR_noisy: 23.956934   PSRN_gt: 23.956934 PSNR_gt_sm: 15.013811
Iteration 00052    Loss 0.004269   PSNR_noisy: 23.696919   PSRN_gt: 23.696919 PSNR_gt_sm: 15.093575
Iteration 00053    Loss 0.003885   PSNR_noisy: 24.106515   PSRN_gt: 24.106515 PSNR_gt_sm: 15.172147
Iteration 00054    Loss 0.003794   PSNR_noisy: 24.208547   PSRN_gt: 24.208547 PSNR_gt_sm: 15.250340
Iteration 00055    Loss 0.003774   PSNR_noisy: 24.231541   PSRN_gt: 24.231541 PSNR_gt_sm: 15.328126
Iteration 00056    Loss 0.003945   PSNR_noisy: 24.039579   PSRN_gt: 24.039579 PSNR_gt_sm: 15.405163
Iteration 00057    Loss 0.003874   PSNR_noisy: 24.117907   PSRN_gt: 24.117907 PSNR_gt_sm: 15.483201
Iteration 00058    Loss 0.003642   PSNR_noisy: 24.386792   PSRN_gt: 24.386792 PSNR_gt_sm: 15.562584
Iteration 00059    Loss 0.003722   PSNR_noisy: 24.292605   PSRN_gt: 24.292605 PSNR_gt_sm: 15.644137
Iteration 00060    Loss 0.003746   PSNR_noisy: 24.264138   PSRN_gt: 24.264138 PSNR_gt_sm: 15.723222
Iteration 00061    Loss 0.003691   PSNR_noisy: 24.328514   PSRN_gt: 24.328514 PSNR_gt_sm: 15.800314
Iteration 00062    Loss 0.003722   PSNR_noisy: 24.291983   PSRN_gt: 24.291983 PSNR_gt_sm: 15.878667
Iteration 00063    Loss 0.003774   PSNR_noisy: 24.231546   PSRN_gt: 24.231546 PSNR_gt_sm: 15.955156
Iteration 00064    Loss 0.003706   PSNR_noisy: 24.310807   PSRN_gt: 24.310807 PSNR_gt_sm: 16.031333
