Iteration 00050    Loss 0.017116   PSNR_noisy: 17.666102   PSRN_gt: 20.913462 PSNR_gt_sm: 14.002322
Iteration 00051    Loss 0.017087   PSNR_noisy: 17.673285   PSRN_gt: 20.927450 PSNR_gt_sm: 14.073875
Iteration 00052    Loss 0.016924   PSNR_noisy: 17.715002   PSRN_gt: 21.016901 PSNR_gt_sm: 14.144846
Iteration 00053    Loss 0.016783   PSNR_noisy: 17.751380   PSRN_gt: 21.085242 PSNR_gt_sm: 14.215645
Iteration 00054    Loss 0.016588   PSNR_noisy: 17.802070   PSRN_gt: 21.198829 PSNR_gt_sm: 14.286091
Iteration 00055    Loss 0.016559   PSNR_noisy: 17.809653   PSRN_gt: 21.214103 PSNR_gt_sm: 14.356424
Iteration 00056    Loss 0.016432   PSNR_noisy: 17.843181   PSRN_gt: 21.292195 PSNR_gt_sm: 14.425760
Iteration 00057    Loss 0.016564   PSNR_noisy: 17.808448   PSRN_gt: 21.207431 PSNR_gt_sm: 14.494632
Iteration 00058    Loss 0.016298   PSNR_noisy: 17.878708   PSRN_gt: 21.367783 PSNR_gt_sm: 14.563105
Iteration 00059    Loss 0.016283   PSNR_noisy: 17.882636   PSRN_gt: 21.377347 PSNR_gt_sm: 14.631544
Iteration 00060    Loss 0.016101   PSNR_noisy: 17.931508   PSRN_gt: 21.496281 PSNR_gt_sm: 14.700699
Iteration 00061    Loss 0.016285   PSNR_noisy: 17.882013   PSRN_gt: 21.371613 PSNR_gt_sm: 14.769886
Iteration 00062    Loss 0.016046   PSNR_noisy: 17.946435   PSRN_gt: 21.527250 PSNR_gt_sm: 14.839151
Iteration 00063    Loss 0.016202   PSNR_noisy: 17.904423   PSRN_gt: 21.426364 PSNR_gt_sm: 14.907815
Iteration 00064    Loss 0.016039   PSNR_noisy: 17.948213   PSRN_gt: 21.526826 PSNR_gt_sm: 14.975454
Iteration 00065    Loss 0.016204   PSNR_noisy: 17.903755   PSRN_gt: 21.424570 PSNR_gt_sm: 15.042659
Iteration 00066    Loss 0.015903   PSNR_noisy: 17.985280   PSRN_gt: 21.620854 PSNR_gt_sm: 15.110545
Iteration 00067    Loss 0.016032   PSNR_noisy: 17.950072   PSRN_gt: 21.534953 PSNR_gt_sm: 15.178999
Iteration 00068    Loss 0.015660   PSNR_noisy: 18.052145   PSRN_gt: 21.777150 PSNR_gt_sm: 15.247518
Iteration 00069    Loss 0.015602   PSNR_noisy: 18.068090   PSRN_gt: 21.809064 PSNR_gt_sm: 15.315058
Iteration 00070    Loss 0.015775   PSNR_noisy: 18.020409   PSRN_gt: 21.696446 PSNR_gt_sm: 15.382162
Iteration 00071    Loss 0.015717   PSNR_noisy: 18.036346   PSRN_gt: 21.733941 PSNR_gt_sm: 15.448777
Iteration 00072    Loss 0.015536   PSNR_noisy: 18.086746   PSRN_gt: 21.856348 PSNR_gt_sm: 15.516092
Iteration 00073    Loss 0.015494   PSNR_noisy: 18.098451   PSRN_gt: 21.880778 PSNR_gt_sm: 15.583527
Iteration 00074    Loss 0.015290   PSNR_noisy: 18.155815   PSRN_gt: 22.021422 PSNR_gt_sm: 15.651110
Iteration 00075    Loss 0.015181   PSNR_noisy: 18.187106   PSRN_gt: 22.099329 PSNR_gt_sm: 15.718682
Iteration 00076    Loss 0.015266   PSNR_noisy: 18.162883   PSRN_gt: 22.030428 PSNR_gt_sm: 15.786109
Iteration 00077    Loss 0.015135   PSNR_noisy: 18.200048   PSRN_gt: 22.117118 PSNR_gt_sm: 15.853586
Iteration 00078    Loss 0.015133   PSNR_noisy: 18.200883   PSRN_gt: 22.131862 PSNR_gt_sm: 15.921401
Iteration 00079    Loss 0.015030   PSNR_noisy: 18.230381   PSRN_gt: 22.201837 PSNR_gt_sm: 15.989452
Iteration 00080    Loss 0.015001   PSNR_noisy: 18.238911   PSRN_gt: 22.225758 PSNR_gt_sm: 16.056960
Iteration 00081    Loss 0.014921   PSNR_noisy: 18.261909   PSRN_gt: 22.280915 PSNR_gt_sm: 16.123737
Iteration 00082    Loss 0.015030   PSNR_noisy: 18.230406   PSRN_gt: 22.192146 PSNR_gt_sm: 16.189820
Iteration 00083    Loss 0.014712   PSNR_noisy: 18.323259   PSRN_gt: 22.435304 PSNR_gt_sm: 16.256345
Iteration 00084    Loss 0.014860   PSNR_noisy: 18.279859   PSRN_gt: 22.318593 PSNR_gt_sm: 16.322862
Iteration 00085    Loss 0.014881   PSNR_noisy: 18.273706   PSRN_gt: 22.304043 PSNR_gt_sm: 16.388747
Iteration 00086    Loss 0.014701   PSNR_noisy: 18.326561   PSRN_gt: 22.446262 PSNR_gt_sm: 16.454954
Iteration 00087    Loss 0.014655   PSNR_noisy: 18.340021   PSRN_gt: 22.480903 PSNR_gt_sm: 16.520868
Iteration 00088    Loss 0.014677   PSNR_noisy: 18.333707   PSRN_gt: 22.460838 PSNR_gt_sm: 16.586956
Iteration 00089    Loss 0.014696   PSNR_noisy: 18.327885   PSRN_gt: 22.456879 PSNR_gt_sm: 16.652779
Iteration 00090    Loss 0.014507   PSNR_noisy: 18.384133   PSRN_gt: 22.596371 PSNR_gt_sm: 16.717905
Iteration 00091    Loss 0.014706   PSNR_noisy: 18.325130   PSRN_gt: 22.440067 PSNR_gt_sm: 16.782349
Iteration 00092    Loss 0.014348   PSNR_noisy: 18.431969   PSRN_gt: 22.715576 PSNR_gt_sm: 16.847238
Iteration 00093    Loss 0.014411   PSNR_noisy: 18.413177   PSRN_gt: 22.669254 PSNR_gt_sm: 16.912367
Iteration 00094    Loss 0.014487   PSNR_noisy: 18.390315   PSRN_gt: 22.599789 PSNR_gt_sm: 16.977191
Iteration 00095    Loss 0.014347   PSNR_noisy: 18.432417   PSRN_gt: 22.715911 PSNR_gt_sm: 17.042010
Iteration 00096    Loss 0.014230   PSNR_noisy: 18.468074   PSRN_gt: 22.816302 PSNR_gt_sm: 17.107408
Iteration 00097    Loss 0.014226   PSNR_noisy: 18.469319   PSRN_gt: 22.816972 PSNR_gt_sm: 17.172332
Iteration 00098    Loss 0.014254   PSNR_noisy: 18.460595   PSRN_gt: 22.790156 PSNR_gt_sm: 17.236692
Iteration 00099    Loss 0.014216   PSNR_noisy: 18.472255   PSRN_gt: 22.817066 PSNR_gt_sm: 17.300464
Iteration 00100    Loss 0.014273   PSNR_noisy: 18.454989   PSRN_gt: 22.782512 PSNR_gt_sm: 17.363298
Iteration 00101    Loss 0.014108   PSNR_noisy: 18.505379   PSRN_gt: 22.905757 PSNR_gt_sm: 17.426194
Iteration 00102    Loss 0.014271   PSNR_noisy: 18.455479   PSRN_gt: 22.777382 PSNR_gt_sm: 17.489387
Iteration 00103    Loss 0.013997   PSNR_noisy: 18.539719   PSRN_gt: 23.010450 PSNR_gt_sm: 17.552874
Iteration 00104    Loss 0.014052   PSNR_noisy: 18.522710   PSRN_gt: 22.963397 PSNR_gt_sm: 17.616405
Iteration 00105    Loss 0.013984   PSNR_noisy: 18.543772   PSRN_gt: 23.016985 PSNR_gt_sm: 17.679897
Iteration 00106    Loss 0.013868   PSNR_noisy: 18.579824   PSRN_gt: 23.118122 PSNR_gt_sm: 17.744128
Iteration 00107    Loss 0.013873   PSNR_noisy: 18.578421   PSRN_gt: 23.105244 PSNR_gt_sm: 17.807695
Iteration 00108    Loss 0.013889   PSNR_noisy: 18.573173   PSRN_gt: 23.103338 PSNR_gt_sm: 17.870520
Iteration 00109    Loss 0.013728   PSNR_noisy: 18.623888   PSRN_gt: 23.243666 PSNR_gt_sm: 17.933079
Iteration 00110    Loss 0.013774   PSNR_noisy: 18.609324   PSRN_gt: 23.204050 PSNR_gt_sm: 17.995350
Iteration 00111    Loss 0.013682   PSNR_noisy: 18.638440   PSRN_gt: 23.277540 PSNR_gt_sm: 18.057779
Iteration 00112    Loss 0.013669   PSNR_noisy: 18.642586   PSRN_gt: 23.290429 PSNR_gt_sm: 18.120250
Iteration 00113    Loss 0.013654   PSNR_noisy: 18.647552   PSRN_gt: 23.317000 PSNR_gt_sm: 18.182165
Iteration 00114    Loss 0.013596   PSNR_noisy: 18.665993   PSRN_gt: 23.354777 PSNR_gt_sm: 18.243601
Iteration 00115    Loss 0.013658   PSNR_noisy: 18.646190   PSRN_gt: 23.310624 PSNR_gt_sm: 18.305578
Iteration 00116    Loss 0.013643   PSNR_noisy: 18.650911   PSRN_gt: 23.317817 PSNR_gt_sm: 18.368067
Iteration 00117    Loss 0.013664   PSNR_noisy: 18.644365   PSRN_gt: 23.287635 PSNR_gt_sm: 18.429538
Iteration 00118    Loss 0.013583   PSNR_noisy: 18.669979   PSRN_gt: 23.364412 PSNR_gt_sm: 18.490265
Iteration 00119    Loss 0.013535   PSNR_noisy: 18.685458   PSRN_gt: 23.425520 PSNR_gt_sm: 18.551199
Iteration 00120    Loss 0.013449   PSNR_noisy: 18.713151   PSRN_gt: 23.504513 PSNR_gt_sm: 18.612440
Iteration 00121    Loss 0.013447   PSNR_noisy: 18.713657   PSRN_gt: 23.498685 PSNR_gt_sm: 18.673984
Iteration 00122    Loss 0.013404   PSNR_noisy: 18.727630   PSRN_gt: 23.543781 PSNR_gt_sm: 18.734929
Iteration 00123    Loss 0.013444   PSNR_noisy: 18.714797   PSRN_gt: 23.492555 PSNR_gt_sm: 18.793780
Iteration 00124    Loss 0.013354   PSNR_noisy: 18.743908   PSRN_gt: 23.573958 PSNR_gt_sm: 18.852668
Iteration 00125    Loss 0.013406   PSNR_noisy: 18.727041   PSRN_gt: 23.535652 PSNR_gt_sm: 18.911623
Iteration 00126    Loss 0.013295   PSNR_noisy: 18.763166   PSRN_gt: 23.639599 PSNR_gt_sm: 18.970896
Iteration 00127    Loss 0.013364   PSNR_noisy: 18.740740   PSRN_gt: 23.580788 PSNR_gt_sm: 19.030424
Iteration 00128    Loss 0.013335   PSNR_noisy: 18.750205   PSRN_gt: 23.595999 PSNR_gt_sm: 19.090279
Iteration 00129    Loss 0.013373   PSNR_noisy: 18.737556   PSRN_gt: 23.563171 PSNR_gt_sm: 19.149619
Iteration 00130    Loss 0.013253   PSNR_noisy: 18.776953   PSRN_gt: 23.677191 PSNR_gt_sm: 19.208505
Iteration 00131    Loss 0.013219   PSNR_noisy: 18.788070   PSRN_gt: 23.706572 PSNR_gt_sm: 19.267233
Iteration 00132    Loss 0.013130   PSNR_noisy: 18.817376   PSRN_gt: 23.807061 PSNR_gt_sm: 19.325561
Iteration 00133    Loss 0.013203   PSNR_noisy: 18.793174   PSRN_gt: 23.715963 PSNR_gt_sm: 19.382897
Iteration 00134    Loss 0.013202   PSNR_noisy: 18.793617   PSRN_gt: 23.733503 PSNR_gt_sm: 19.440140
Iteration 00135    Loss 0.013162   PSNR_noisy: 18.806935   PSRN_gt: 23.778350 PSNR_gt_sm: 19.498399
Iteration 00136    Loss 0.013054   PSNR_noisy: 18.842703   PSRN_gt: 23.889593 PSNR_gt_sm: 19.556471
Iteration 00137    Loss 0.013078   PSNR_noisy: 18.834609   PSRN_gt: 23.867076 PSNR_gt_sm: 19.614291
Iteration 00138    Loss 0.013172   PSNR_noisy: 18.803536   PSRN_gt: 23.759082 PSNR_gt_sm: 19.670681
Iteration 00139    Loss 0.013023   PSNR_noisy: 18.852738   PSRN_gt: 23.910462 PSNR_gt_sm: 19.727989
Iteration 00140    Loss 0.013068   PSNR_noisy: 18.837748   PSRN_gt: 23.866601 PSNR_gt_sm: 19.784924
Iteration 00141    Loss 0.012987   PSNR_noisy: 18.864808   PSRN_gt: 23.952260 PSNR_gt_sm: 19.841742
Iteration 00142    Loss 0.012981   PSNR_noisy: 18.867011   PSRN_gt: 23.950539 PSNR_gt_sm: 19.897199
Iteration 00143    Loss 0.012996   PSNR_noisy: 18.861981   PSRN_gt: 23.945697 PSNR_gt_sm: 19.952838
Iteration 00144    Loss 0.012982   PSNR_noisy: 18.866436   PSRN_gt: 23.944660 PSNR_gt_sm: 20.009126
Iteration 00145    Loss 0.012906   PSNR_noisy: 18.891998   PSRN_gt: 24.031637 PSNR_gt_sm: 20.065686
Iteration 00146    Loss 0.012906   PSNR_noisy: 18.892107   PSRN_gt: 24.039440 PSNR_gt_sm: 20.121506
Iteration 00147    Loss 0.012828   PSNR_noisy: 18.918381   PSRN_gt: 24.117632 PSNR_gt_sm: 20.176978
Iteration 00148    Loss 0.012962   PSNR_noisy: 18.873301   PSRN_gt: 23.974773 PSNR_gt_sm: 20.231810
Iteration 00149    Loss 0.012849   PSNR_noisy: 18.911401   PSRN_gt: 24.109303 PSNR_gt_sm: 20.286662
Iteration 00150    Loss 0.012747   PSNR_noisy: 18.945847   PSRN_gt: 24.212560 PSNR_gt_sm: 20.341151
Iteration 00151    Loss 0.012731   PSNR_noisy: 18.951328   PSRN_gt: 24.223774 PSNR_gt_sm: 20.395605
Iteration 00152    Loss 0.012889   PSNR_noisy: 18.897687   PSRN_gt: 24.051458 PSNR_gt_sm: 20.448556
Iteration 00153    Loss 0.012786   PSNR_noisy: 18.932546   PSRN_gt: 24.164271 PSNR_gt_sm: 20.501982
Iteration 00154    Loss 0.012782   PSNR_noisy: 18.934052   PSRN_gt: 24.167155 PSNR_gt_sm: 20.555825
Iteration 00155    Loss 0.012699   PSNR_noisy: 18.962309   PSRN_gt: 24.260683 PSNR_gt_sm: 20.609244
Iteration 00156    Loss 0.012786   PSNR_noisy: 18.932613   PSRN_gt: 24.147752 PSNR_gt_sm: 20.662538
Iteration 00157    Loss 0.012722   PSNR_noisy: 18.954368   PSRN_gt: 24.225066 PSNR_gt_sm: 20.716595
Iteration 00158    Loss 0.012606   PSNR_noisy: 18.994129   PSRN_gt: 24.373303 PSNR_gt_sm: 20.770400
Iteration 00159    Loss 0.012591   PSNR_noisy: 18.999462   PSRN_gt: 24.370532 PSNR_gt_sm: 20.823137
Iteration 00160    Loss 0.012560   PSNR_noisy: 19.010034   PSRN_gt: 24.402073 PSNR_gt_sm: 20.874831
Iteration 00161    Loss 0.012599   PSNR_noisy: 18.996776   PSRN_gt: 24.358498 PSNR_gt_sm: 20.926519
Iteration 00162    Loss 0.012603   PSNR_noisy: 18.995411   PSRN_gt: 24.360748 PSNR_gt_sm: 20.978375
Iteration 00163    Loss 0.012549   PSNR_noisy: 19.014001   PSRN_gt: 24.418626 PSNR_gt_sm: 21.030452
Iteration 00164    Loss 0.012539   PSNR_noisy: 19.017542   PSRN_gt: 24.437573 PSNR_gt_sm: 21.082169
Iteration 00165    Loss 0.012556   PSNR_noisy: 19.011434   PSRN_gt: 24.405549 PSNR_gt_sm: 21.133079
Iteration 00166    Loss 0.012467   PSNR_noisy: 19.042320   PSRN_gt: 24.526373 PSNR_gt_sm: 21.184146
Iteration 00167    Loss 0.012504   PSNR_noisy: 19.029406   PSRN_gt: 24.492284 PSNR_gt_sm: 21.235554
Iteration 00168    Loss 0.012492   PSNR_noisy: 19.033636   PSRN_gt: 24.493608 PSNR_gt_sm: 21.286944
Iteration 00169    Loss 0.012393   PSNR_noisy: 19.068156   PSRN_gt: 24.603530 PSNR_gt_sm: 21.337470
Iteration 00170    Loss 0.012486   PSNR_noisy: 19.035746   PSRN_gt: 24.493861 PSNR_gt_sm: 21.386738
Iteration 00171    Loss 0.012359   PSNR_noisy: 19.080227   PSRN_gt: 24.667200 PSNR_gt_sm: 21.437141
Iteration 00172    Loss 0.012383   PSNR_noisy: 19.071710   PSRN_gt: 24.623020 PSNR_gt_sm: 21.487393
Iteration 00173    Loss 0.012351   PSNR_noisy: 19.083022   PSRN_gt: 24.673253 PSNR_gt_sm: 21.537859
Iteration 00174    Loss 0.012385   PSNR_noisy: 19.071078   PSRN_gt: 24.616445 PSNR_gt_sm: 21.587530
Iteration 00175    Loss 0.012310   PSNR_noisy: 19.097362   PSRN_gt: 24.721042 PSNR_gt_sm: 21.637548
Iteration 00176    Loss 0.012313   PSNR_noisy: 19.096298   PSRN_gt: 24.714141 PSNR_gt_sm: 21.687259
Iteration 00177    Loss 0.012300   PSNR_noisy: 19.100877   PSRN_gt: 24.721448 PSNR_gt_sm: 21.736137
Iteration 00178    Loss 0.012285   PSNR_noisy: 19.106239   PSRN_gt: 24.739599 PSNR_gt_sm: 21.784291
Iteration 00179    Loss 0.012216   PSNR_noisy: 19.130868   PSRN_gt: 24.846598 PSNR_gt_sm: 21.831801
Iteration 00180    Loss 0.012253   PSNR_noisy: 19.117556   PSRN_gt: 24.787254 PSNR_gt_sm: 21.880081
Iteration 00181    Loss 0.012263   PSNR_noisy: 19.114044   PSRN_gt: 24.764746 PSNR_gt_sm: 21.928617
Iteration 00182    Loss 0.012111   PSNR_noisy: 19.168319   PSRN_gt: 24.963511 PSNR_gt_sm: 21.977626
Iteration 00183    Loss 0.012240   PSNR_noisy: 19.122280   PSRN_gt: 24.776148 PSNR_gt_sm: 22.025331
Iteration 00184    Loss 0.012237   PSNR_noisy: 19.123230   PSRN_gt: 24.784793 PSNR_gt_sm: 22.072229
Iteration 00185    Loss 0.012219   PSNR_noisy: 19.129794   PSRN_gt: 24.820490 PSNR_gt_sm: 22.119527
Iteration 00186    Loss 0.012141   PSNR_noisy: 19.157573   PSRN_gt: 24.897870 PSNR_gt_sm: 22.166160
Iteration 00187    Loss 0.012175   PSNR_noisy: 19.145407   PSRN_gt: 24.860000 PSNR_gt_sm: 22.212666
Iteration 00188    Loss 0.012130   PSNR_noisy: 19.161316   PSRN_gt: 24.920522 PSNR_gt_sm: 22.258370
Iteration 00189    Loss 0.012169   PSNR_noisy: 19.147476   PSRN_gt: 24.859021 PSNR_gt_sm: 22.304062
Iteration 00190    Loss 0.012134   PSNR_noisy: 19.159887   PSRN_gt: 24.909043 PSNR_gt_sm: 22.350186
Iteration 00191    Loss 0.012000   PSNR_noisy: 19.208265   PSRN_gt: 25.085397 PSNR_gt_sm: 22.395820
Iteration 00192    Loss 0.012039   PSNR_noisy: 19.194122   PSRN_gt: 25.058211 PSNR_gt_sm: 22.441652
Iteration 00193    Loss 0.012087   PSNR_noisy: 19.176657   PSRN_gt: 24.985261 PSNR_gt_sm: 22.487748
Iteration 00194    Loss 0.012036   PSNR_noisy: 19.195326   PSRN_gt: 25.042181 PSNR_gt_sm: 22.533485
Iteration 00195    Loss 0.011985   PSNR_noisy: 19.213482   PSRN_gt: 25.120701 PSNR_gt_sm: 22.578265
Iteration 00196    Loss 0.011992   PSNR_noisy: 19.211125   PSRN_gt: 25.112010 PSNR_gt_sm: 22.621898
Iteration 00197    Loss 0.011998   PSNR_noisy: 19.208945   PSRN_gt: 25.105257 PSNR_gt_sm: 22.666189
Iteration 00198    Loss 0.011977   PSNR_noisy: 19.216574   PSRN_gt: 25.132301 PSNR_gt_sm: 22.711381
Iteration 00199    Loss 0.011948   PSNR_noisy: 19.227205   PSRN_gt: 25.167484 PSNR_gt_sm: 22.756616
Iteration 00200    Loss 0.012022   PSNR_noisy: 19.200187   PSRN_gt: 25.064754 PSNR_gt_sm: 22.800512
Iteration 00201    Loss 0.011954   PSNR_noisy: 19.225033   PSRN_gt: 25.156727 PSNR_gt_sm: 22.843740
Iteration 00202    Loss 0.011932   PSNR_noisy: 19.232716   PSRN_gt: 25.179206 PSNR_gt_sm: 22.886485
Iteration 00203    Loss 0.011871   PSNR_noisy: 19.255009   PSRN_gt: 25.281449 PSNR_gt_sm: 22.929874
Iteration 00204    Loss 0.011830   PSNR_noisy: 19.270302   PSRN_gt: 25.352060 PSNR_gt_sm: 22.972686
Iteration 00205    Loss 0.011885   PSNR_noisy: 19.250123   PSRN_gt: 25.266466 PSNR_gt_sm: 23.016364
Iteration 00206    Loss 0.011800   PSNR_noisy: 19.281159   PSRN_gt: 25.385254 PSNR_gt_sm: 23.060015
Iteration 00207    Loss 0.011843   PSNR_noisy: 19.265208   PSRN_gt: 25.324100 PSNR_gt_sm: 23.103811
Iteration 00208    Loss 0.011816   PSNR_noisy: 19.275457   PSRN_gt: 25.365073 PSNR_gt_sm: 23.147403
Iteration 00209    Loss 0.011788   PSNR_noisy: 19.285573   PSRN_gt: 25.401707 PSNR_gt_sm: 23.190127
Iteration 00210    Loss 0.011826   PSNR_noisy: 19.271501   PSRN_gt: 25.342484 PSNR_gt_sm: 23.232454
Iteration 00211    Loss 0.011792   PSNR_noisy: 19.283951   PSRN_gt: 25.379137 PSNR_gt_sm: 23.273879
Iteration 00212    Loss 0.011759   PSNR_noisy: 19.296354   PSRN_gt: 25.424915 PSNR_gt_sm: 23.315764
Iteration 00213    Loss 0.011750   PSNR_noisy: 19.299521   PSRN_gt: 25.435883 PSNR_gt_sm: 23.356810
Iteration 00214    Loss 0.011726   PSNR_noisy: 19.308400   PSRN_gt: 25.480485 PSNR_gt_sm: 23.398294
Iteration 00215    Loss 0.011726   PSNR_noisy: 19.308569   PSRN_gt: 25.479618 PSNR_gt_sm: 23.439783
Iteration 00216    Loss 0.011706   PSNR_noisy: 19.315809   PSRN_gt: 25.507727 PSNR_gt_sm: 23.481653
Iteration 00217    Loss 0.011681   PSNR_noisy: 19.325216   PSRN_gt: 25.563160 PSNR_gt_sm: 23.523001
