Iteration 00000    Loss 0.111435   PSNR_noisy: 9.529803   PSRN_gt: 9.529803 PSNR_gt_sm: 9.529803
Iteration 00001    Loss 0.064929   PSNR_noisy: 11.875603   PSRN_gt: 11.875603 PSNR_gt_sm: 9.559424
Iteration 00002    Loss 0.067496   PSNR_noisy: 11.707218   PSRN_gt: 11.707218 PSNR_gt_sm: 9.603620
Iteration 00003    Loss 0.022102   PSNR_noisy: 16.555727   PSRN_gt: 16.555727 PSNR_gt_sm: 9.666930
Iteration 00004    Loss 0.016654   PSNR_noisy: 17.784690   PSRN_gt: 17.784690 PSNR_gt_sm: 9.745369
Iteration 00005    Loss 0.017216   PSNR_noisy: 17.640799   PSRN_gt: 17.640799 PSNR_gt_sm: 9.833464
Iteration 00006    Loss 0.017701   PSNR_noisy: 17.519952   PSRN_gt: 17.519952 PSNR_gt_sm: 9.923998
Iteration 00007    Loss 0.016469   PSNR_noisy: 17.833228   PSRN_gt: 17.833228 PSNR_gt_sm: 10.014142
Iteration 00008    Loss 0.015123   PSNR_noisy: 18.203754   PSRN_gt: 18.203754 PSNR_gt_sm: 10.102959
Iteration 00009    Loss 0.013742   PSNR_noisy: 18.619361   PSRN_gt: 18.619361 PSNR_gt_sm: 10.190396
Iteration 00010    Loss 0.011678   PSNR_noisy: 19.326166   PSRN_gt: 19.326166 PSNR_gt_sm: 10.275963
Iteration 00011    Loss 0.010619   PSNR_noisy: 19.739092   PSRN_gt: 19.739092 PSNR_gt_sm: 10.357374
Iteration 00012    Loss 0.009746   PSNR_noisy: 20.111811   PSRN_gt: 20.111811 PSNR_gt_sm: 10.435527
Iteration 00013    Loss 0.009922   PSNR_noisy: 20.033974   PSRN_gt: 20.033974 PSNR_gt_sm: 10.513291
Iteration 00014    Loss 0.009652   PSNR_noisy: 20.153681   PSRN_gt: 20.153681 PSNR_gt_sm: 10.590586
Iteration 00015    Loss 0.008750   PSNR_noisy: 20.580085   PSRN_gt: 20.580085 PSNR_gt_sm: 10.667058
Iteration 00016    Loss 0.007981   PSNR_noisy: 20.979209   PSRN_gt: 20.979209 PSNR_gt_sm: 10.744298
Iteration 00017    Loss 0.008022   PSNR_noisy: 20.957072   PSRN_gt: 20.957072 PSNR_gt_sm: 10.824395
Iteration 00018    Loss 0.007290   PSNR_noisy: 21.372952   PSRN_gt: 21.372952 PSNR_gt_sm: 10.906678
Iteration 00019    Loss 0.006885   PSNR_noisy: 21.621142   PSRN_gt: 21.621142 PSNR_gt_sm: 10.990940
Iteration 00020    Loss 0.006492   PSNR_noisy: 21.876150   PSRN_gt: 21.876150 PSNR_gt_sm: 11.077386
Iteration 00021    Loss 0.005951   PSNR_noisy: 22.254348   PSRN_gt: 22.254348 PSNR_gt_sm: 11.162910
Iteration 00022    Loss 0.005212   PSNR_noisy: 22.830245   PSRN_gt: 22.830245 PSNR_gt_sm: 11.247976
Iteration 00023    Loss 0.005144   PSNR_noisy: 22.886599   PSRN_gt: 22.886599 PSNR_gt_sm: 11.334779
Iteration 00024    Loss 0.004543   PSNR_noisy: 23.426667   PSRN_gt: 23.426667 PSNR_gt_sm: 11.420260
Iteration 00025    Loss 0.004398   PSNR_noisy: 23.567336   PSRN_gt: 23.567336 PSNR_gt_sm: 11.504692
Iteration 00026    Loss 0.004362   PSNR_noisy: 23.603244   PSRN_gt: 23.603244 PSNR_gt_sm: 11.589180
Iteration 00027    Loss 0.004184   PSNR_noisy: 23.784002   PSRN_gt: 23.784002 PSNR_gt_sm: 11.671365
Iteration 00028    Loss 0.004235   PSNR_noisy: 23.731232   PSRN_gt: 23.731232 PSNR_gt_sm: 11.752641
Iteration 00029    Loss 0.003600   PSNR_noisy: 24.436572   PSRN_gt: 24.436572 PSNR_gt_sm: 11.836600
Iteration 00030    Loss 0.003658   PSNR_noisy: 24.367201   PSRN_gt: 24.367201 PSNR_gt_sm: 11.921819
Iteration 00031    Loss 0.004997   PSNR_noisy: 23.012677   PSRN_gt: 23.012677 PSNR_gt_sm: 12.005702
Iteration 00032    Loss 0.004019   PSNR_noisy: 23.958511   PSRN_gt: 23.958511 PSNR_gt_sm: 12.089536
Iteration 00033    Loss 0.003731   PSNR_noisy: 24.282025   PSRN_gt: 24.282025 PSNR_gt_sm: 12.175145
Iteration 00034    Loss 0.003770   PSNR_noisy: 24.236037   PSRN_gt: 24.236037 PSNR_gt_sm: 12.261986
Iteration 00035    Loss 0.003907   PSNR_noisy: 24.081625   PSRN_gt: 24.081625 PSNR_gt_sm: 12.348112
Iteration 00036    Loss 0.003868   PSNR_noisy: 24.125124   PSRN_gt: 24.125124 PSNR_gt_sm: 12.434116
Iteration 00037    Loss 0.004235   PSNR_noisy: 23.731163   PSRN_gt: 23.731163 PSNR_gt_sm: 12.519439
Iteration 00038    Loss 0.003633   PSNR_noisy: 24.397777   PSRN_gt: 24.397777 PSNR_gt_sm: 12.600737
Iteration 00039    Loss 0.003607   PSNR_noisy: 24.428660   PSRN_gt: 24.428660 PSNR_gt_sm: 12.682150
Iteration 00040    Loss 0.003939   PSNR_noisy: 24.046476   PSRN_gt: 24.046476 PSNR_gt_sm: 12.762298
Iteration 00041    Loss 0.003919   PSNR_noisy: 24.068410   PSRN_gt: 24.068410 PSNR_gt_sm: 12.842983
Iteration 00042    Loss 0.003704   PSNR_noisy: 24.313591   PSRN_gt: 24.313591 PSNR_gt_sm: 12.926769
Iteration 00043    Loss 0.003528   PSNR_noisy: 24.524206   PSRN_gt: 24.524206 PSNR_gt_sm: 13.012064
Iteration 00044    Loss 0.003688   PSNR_noisy: 24.331570   PSRN_gt: 24.331570 PSNR_gt_sm: 13.097712
Iteration 00045    Loss 0.003332   PSNR_noisy: 24.773561   PSRN_gt: 24.773561 PSNR_gt_sm: 13.184300
Iteration 00046    Loss 0.003232   PSNR_noisy: 24.905509   PSRN_gt: 24.905509 PSNR_gt_sm: 13.269971
Iteration 00047    Loss 0.003144   PSNR_noisy: 25.025855   PSRN_gt: 25.025855 PSNR_gt_sm: 13.353903
Iteration 00048    Loss 0.003477   PSNR_noisy: 24.588257   PSRN_gt: 24.588257 PSNR_gt_sm: 13.438041
Iteration 00049    Loss 0.002890   PSNR_noisy: 25.390667   PSRN_gt: 25.390667 PSNR_gt_sm: 13.519483
Iteration 00050    Loss 0.003077   PSNR_noisy: 25.119032   PSRN_gt: 25.119032 PSNR_gt_sm: 13.599858
Iteration 00051    Loss 0.002727   PSNR_noisy: 25.643257   PSRN_gt: 25.643257 PSNR_gt_sm: 13.681417
Iteration 00052    Loss 0.002800   PSNR_noisy: 25.528813   PSRN_gt: 25.528813 PSNR_gt_sm: 13.763257
Iteration 00053    Loss 0.002809   PSNR_noisy: 25.514803   PSRN_gt: 25.514803 PSNR_gt_sm: 13.846513
Iteration 00054    Loss 0.002799   PSNR_noisy: 25.529870   PSRN_gt: 25.529870 PSNR_gt_sm: 13.930210
Iteration 00055    Loss 0.002778   PSNR_noisy: 25.563303   PSRN_gt: 25.563303 PSNR_gt_sm: 14.014693
Iteration 00056    Loss 0.002611   PSNR_noisy: 25.832069   PSRN_gt: 25.832069 PSNR_gt_sm: 14.099899
Iteration 00057    Loss 0.002850   PSNR_noisy: 25.451834   PSRN_gt: 25.451834 PSNR_gt_sm: 14.185345
Iteration 00058    Loss 0.002759   PSNR_noisy: 25.592444   PSRN_gt: 25.592444 PSNR_gt_sm: 14.272505
Iteration 00059    Loss 0.002563   PSNR_noisy: 25.913199   PSRN_gt: 25.913199 PSNR_gt_sm: 14.356710
Iteration 00060    Loss 0.002521   PSNR_noisy: 25.984287   PSRN_gt: 25.984287 PSNR_gt_sm: 14.440614
Iteration 00061    Loss 0.002682   PSNR_noisy: 25.715297   PSRN_gt: 25.715297 PSNR_gt_sm: 14.523408
Iteration 00062    Loss 0.002427   PSNR_noisy: 26.148690   PSRN_gt: 26.148690 PSNR_gt_sm: 14.605854
Iteration 00063    Loss 0.002356   PSNR_noisy: 26.277888   PSRN_gt: 26.277888 PSNR_gt_sm: 14.688207
Iteration 00064    Loss 0.002564   PSNR_noisy: 25.910034   PSRN_gt: 25.910034 PSNR_gt_sm: 14.768711
Iteration 00065    Loss 0.002406   PSNR_noisy: 26.187426   PSRN_gt: 26.187426 PSNR_gt_sm: 14.849918
Iteration 00066    Loss 0.002248   PSNR_noisy: 26.481366   PSRN_gt: 26.481366 PSNR_gt_sm: 14.932661
Iteration 00067    Loss 0.002289   PSNR_noisy: 26.403900   PSRN_gt: 26.403900 PSNR_gt_sm: 15.014725
Iteration 00068    Loss 0.002174   PSNR_noisy: 26.628180   PSRN_gt: 26.628180 PSNR_gt_sm: 15.099319
Iteration 00069    Loss 0.002316   PSNR_noisy: 26.353351   PSRN_gt: 26.353351 PSNR_gt_sm: 15.183004
Iteration 00070    Loss 0.002363   PSNR_noisy: 26.265371   PSRN_gt: 26.265371 PSNR_gt_sm: 15.267579
Iteration 00071    Loss 0.002393   PSNR_noisy: 26.211288   PSRN_gt: 26.211288 PSNR_gt_sm: 15.353101
Iteration 00072    Loss 0.002234   PSNR_noisy: 26.508316   PSRN_gt: 26.508316 PSNR_gt_sm: 15.437366
Iteration 00073    Loss 0.002195   PSNR_noisy: 26.585345   PSRN_gt: 26.585345 PSNR_gt_sm: 15.519545
Iteration 00074    Loss 0.002152   PSNR_noisy: 26.672125   PSRN_gt: 26.672125 PSNR_gt_sm: 15.601690
Iteration 00075    Loss 0.002305   PSNR_noisy: 26.372695   PSRN_gt: 26.372695 PSNR_gt_sm: 15.680929
Iteration 00076    Loss 0.002159   PSNR_noisy: 26.658327   PSRN_gt: 26.658327 PSNR_gt_sm: 15.760692
Iteration 00077    Loss 0.002133   PSNR_noisy: 26.710899   PSRN_gt: 26.710899 PSNR_gt_sm: 15.843180
Iteration 00078    Loss 0.002158   PSNR_noisy: 26.660187   PSRN_gt: 26.660187 PSNR_gt_sm: 15.926391
Iteration 00079    Loss 0.002079   PSNR_noisy: 26.820948   PSRN_gt: 26.820948 PSNR_gt_sm: 16.010420
Iteration 00080    Loss 0.002089   PSNR_noisy: 26.800767   PSRN_gt: 26.800767 PSNR_gt_sm: 16.094061
Iteration 00081    Loss 0.002106   PSNR_noisy: 26.765256   PSRN_gt: 26.765256 PSNR_gt_sm: 16.176882
Iteration 00082    Loss 0.002004   PSNR_noisy: 26.981840   PSRN_gt: 26.981840 PSNR_gt_sm: 16.258987
Iteration 00083    Loss 0.001934   PSNR_noisy: 27.135905   PSRN_gt: 27.135905 PSNR_gt_sm: 16.341329
Iteration 00084    Loss 0.001910   PSNR_noisy: 27.190025   PSRN_gt: 27.190025 PSNR_gt_sm: 16.424154
Iteration 00085    Loss 0.001966   PSNR_noisy: 27.064878   PSRN_gt: 27.064878 PSNR_gt_sm: 16.504826
Iteration 00086    Loss 0.001924   PSNR_noisy: 27.158332   PSRN_gt: 27.158332 PSNR_gt_sm: 16.585103
Iteration 00087    Loss 0.001999   PSNR_noisy: 26.992578   PSRN_gt: 26.992578 PSNR_gt_sm: 16.665496
Iteration 00088    Loss 0.001977   PSNR_noisy: 27.039148   PSRN_gt: 27.039148 PSNR_gt_sm: 16.747184
Iteration 00089    Loss 0.001928   PSNR_noisy: 27.149293   PSRN_gt: 27.149293 PSNR_gt_sm: 16.829673
Iteration 00090    Loss 0.001883   PSNR_noisy: 27.251946   PSRN_gt: 27.251946 PSNR_gt_sm: 16.912138
Iteration 00091    Loss 0.001904   PSNR_noisy: 27.203005   PSRN_gt: 27.203005 PSNR_gt_sm: 16.995663
Iteration 00092    Loss 0.001892   PSNR_noisy: 27.230666   PSRN_gt: 27.230666 PSNR_gt_sm: 17.077222
Iteration 00093    Loss 0.001829   PSNR_noisy: 27.378116   PSRN_gt: 27.378116 PSNR_gt_sm: 17.158129
Iteration 00094    Loss 0.001917   PSNR_noisy: 27.172806   PSRN_gt: 27.172806 PSNR_gt_sm: 17.240589
Iteration 00095    Loss 0.001843   PSNR_noisy: 27.344961   PSRN_gt: 27.344961 PSNR_gt_sm: 17.322008
Iteration 00096    Loss 0.001851   PSNR_noisy: 27.326365   PSRN_gt: 27.326365 PSNR_gt_sm: 17.401808
Iteration 00097    Loss 0.001902   PSNR_noisy: 27.207799   PSRN_gt: 27.207799 PSNR_gt_sm: 17.481619
Iteration 00098    Loss 0.001845   PSNR_noisy: 27.339046   PSRN_gt: 27.339046 PSNR_gt_sm: 17.561479
Iteration 00099    Loss 0.001853   PSNR_noisy: 27.321177   PSRN_gt: 27.321177 PSNR_gt_sm: 17.644866
Iteration 00100    Loss 0.001795   PSNR_noisy: 27.459106   PSRN_gt: 27.459106 PSNR_gt_sm: 17.724099
Iteration 00101    Loss 0.001818   PSNR_noisy: 27.404850   PSRN_gt: 27.404850 PSNR_gt_sm: 17.803580
Iteration 00102    Loss 0.001902   PSNR_noisy: 27.208178   PSRN_gt: 27.208178 PSNR_gt_sm: 17.883456
Iteration 00103    Loss 0.001809   PSNR_noisy: 27.425561   PSRN_gt: 27.425561 PSNR_gt_sm: 17.963523
Iteration 00104    Loss 0.001706   PSNR_noisy: 27.680581   PSRN_gt: 27.680581 PSNR_gt_sm: 18.044202
Iteration 00105    Loss 0.001735   PSNR_noisy: 27.607226   PSRN_gt: 27.607226 PSNR_gt_sm: 18.126301
Iteration 00106    Loss 0.001741   PSNR_noisy: 27.591362   PSRN_gt: 27.591362 PSNR_gt_sm: 18.205995
Iteration 00107    Loss 0.001768   PSNR_noisy: 27.524966   PSRN_gt: 27.524966 PSNR_gt_sm: 18.287962
