Iteration 00050    Loss 0.024394   PSNR_noisy: 16.842229   PSRN_gt: 19.315214 PSNR_gt_sm: 13.904888
Iteration 00051    Loss 0.024485   PSNR_noisy: 16.863949   PSRN_gt: 19.359152 PSNR_gt_sm: 13.964675
Iteration 00052    Loss 0.024245   PSNR_noisy: 16.908317   PSRN_gt: 19.435925 PSNR_gt_sm: 14.023654
Iteration 00053    Loss 0.024230   PSNR_noisy: 16.906053   PSRN_gt: 19.429980 PSNR_gt_sm: 14.082291
Iteration 00054    Loss 0.024140   PSNR_noisy: 16.919558   PSRN_gt: 19.456300 PSNR_gt_sm: 14.140273
Iteration 00055    Loss 0.024259   PSNR_noisy: 16.944278   PSRN_gt: 19.504803 PSNR_gt_sm: 14.198852
Iteration 00056    Loss 0.023905   PSNR_noisy: 17.045292   PSRN_gt: 19.688541 PSNR_gt_sm: 14.257859
Iteration 00057    Loss 0.024050   PSNR_noisy: 17.022948   PSRN_gt: 19.649214 PSNR_gt_sm: 14.316616
Iteration 00058    Loss 0.023871   PSNR_noisy: 17.073907   PSRN_gt: 19.744570 PSNR_gt_sm: 14.375985
Iteration 00059    Loss 0.023892   PSNR_noisy: 17.036411   PSRN_gt: 19.672236 PSNR_gt_sm: 14.435234
Iteration 00060    Loss 0.023728   PSNR_noisy: 17.038893   PSRN_gt: 19.677080 PSNR_gt_sm: 14.492540
Iteration 00061    Loss 0.023907   PSNR_noisy: 16.977607   PSRN_gt: 19.563860 PSNR_gt_sm: 14.548731
Iteration 00062    Loss 0.023834   PSNR_noisy: 16.997052   PSRN_gt: 19.594483 PSNR_gt_sm: 14.604042
Iteration 00063    Loss 0.023768   PSNR_noisy: 17.022794   PSRN_gt: 19.648085 PSNR_gt_sm: 14.660703
Iteration 00064    Loss 0.023526   PSNR_noisy: 17.104404   PSRN_gt: 19.800824 PSNR_gt_sm: 14.718992
Iteration 00065    Loss 0.023707   PSNR_noisy: 17.047721   PSRN_gt: 19.695172 PSNR_gt_sm: 14.776052
Iteration 00066    Loss 0.023483   PSNR_noisy: 17.155448   PSRN_gt: 19.898337 PSNR_gt_sm: 14.833791
Iteration 00067    Loss 0.023497   PSNR_noisy: 17.120966   PSRN_gt: 19.829484 PSNR_gt_sm: 14.891009
Iteration 00068    Loss 0.023355   PSNR_noisy: 17.152746   PSRN_gt: 19.886827 PSNR_gt_sm: 14.947406
Iteration 00069    Loss 0.023338   PSNR_noisy: 17.149862   PSRN_gt: 19.880169 PSNR_gt_sm: 15.002403
Iteration 00070    Loss 0.023290   PSNR_noisy: 17.155834   PSRN_gt: 19.892522 PSNR_gt_sm: 15.056940
Iteration 00071    Loss 0.023151   PSNR_noisy: 17.182033   PSRN_gt: 19.940561 PSNR_gt_sm: 15.111498
Iteration 00072    Loss 0.023144   PSNR_noisy: 17.195487   PSRN_gt: 19.968069 PSNR_gt_sm: 15.165972
Iteration 00073    Loss 0.022983   PSNR_noisy: 17.248351   PSRN_gt: 20.068162 PSNR_gt_sm: 15.220333
Iteration 00074    Loss 0.023079   PSNR_noisy: 17.257755   PSRN_gt: 20.091962 PSNR_gt_sm: 15.275257
Iteration 00075    Loss 0.023060   PSNR_noisy: 17.261145   PSRN_gt: 20.100002 PSNR_gt_sm: 15.330629
Iteration 00076    Loss 0.023037   PSNR_noisy: 17.268351   PSRN_gt: 20.114465 PSNR_gt_sm: 15.385796
Iteration 00077    Loss 0.022874   PSNR_noisy: 17.307462   PSRN_gt: 20.186874 PSNR_gt_sm: 15.439974
Iteration 00078    Loss 0.022783   PSNR_noisy: 17.315933   PSRN_gt: 20.201516 PSNR_gt_sm: 15.492914
Iteration 00079    Loss 0.022742   PSNR_noisy: 17.322545   PSRN_gt: 20.215111 PSNR_gt_sm: 15.546775
Iteration 00080    Loss 0.022757   PSNR_noisy: 17.313010   PSRN_gt: 20.194462 PSNR_gt_sm: 15.599707
Iteration 00081    Loss 0.022700   PSNR_noisy: 17.320963   PSRN_gt: 20.211488 PSNR_gt_sm: 15.652711
Iteration 00082    Loss 0.022736   PSNR_noisy: 17.326861   PSRN_gt: 20.225308 PSNR_gt_sm: 15.706384
Iteration 00083    Loss 0.022733   PSNR_noisy: 17.334959   PSRN_gt: 20.240783 PSNR_gt_sm: 15.759750
Iteration 00084    Loss 0.022787   PSNR_noisy: 17.314182   PSRN_gt: 20.199073 PSNR_gt_sm: 15.812386
Iteration 00085    Loss 0.022758   PSNR_noisy: 17.308351   PSRN_gt: 20.184675 PSNR_gt_sm: 15.863976
Iteration 00086    Loss 0.022656   PSNR_noisy: 17.306822   PSRN_gt: 20.187592 PSNR_gt_sm: 15.914726
Iteration 00087    Loss 0.022459   PSNR_noisy: 17.384571   PSRN_gt: 20.339421 PSNR_gt_sm: 15.964869
Iteration 00088    Loss 0.022403   PSNR_noisy: 17.417549   PSRN_gt: 20.406090 PSNR_gt_sm: 16.016186
Iteration 00089    Loss 0.022423   PSNR_noisy: 17.426618   PSRN_gt: 20.422458 PSNR_gt_sm: 16.067318
Iteration 00090    Loss 0.022557   PSNR_noisy: 17.408540   PSRN_gt: 20.388956 PSNR_gt_sm: 16.117849
Iteration 00091    Loss 0.022347   PSNR_noisy: 17.449266   PSRN_gt: 20.468429 PSNR_gt_sm: 16.168573
Iteration 00092    Loss 0.022361   PSNR_noisy: 17.468408   PSRN_gt: 20.510862 PSNR_gt_sm: 16.219994
Iteration 00093    Loss 0.022404   PSNR_noisy: 17.476041   PSRN_gt: 20.521912 PSNR_gt_sm: 16.270632
Iteration 00094    Loss 0.022289   PSNR_noisy: 17.482842   PSRN_gt: 20.538336 PSNR_gt_sm: 16.321135
Iteration 00095    Loss 0.022226   PSNR_noisy: 17.471402   PSRN_gt: 20.513800 PSNR_gt_sm: 16.370684
Iteration 00096    Loss 0.022269   PSNR_noisy: 17.422327   PSRN_gt: 20.416188 PSNR_gt_sm: 16.419598
