Iteration 00050    Loss 0.007555   PSNR_noisy: 22.498123   PSRN_gt: 22.498123 PSNR_gt_sm: 14.545429
Iteration 00051    Loss 0.007542   PSNR_noisy: 22.521377   PSRN_gt: 22.521377 PSNR_gt_sm: 14.620392
Iteration 00052    Loss 0.007436   PSNR_noisy: 22.603945   PSRN_gt: 22.603945 PSNR_gt_sm: 14.694522
Iteration 00053    Loss 0.006898   PSNR_noisy: 23.021165   PSRN_gt: 23.021165 PSNR_gt_sm: 14.769444
Iteration 00054    Loss 0.007028   PSNR_noisy: 22.932726   PSRN_gt: 22.932726 PSNR_gt_sm: 14.844042
Iteration 00055    Loss 0.007377   PSNR_noisy: 22.671339   PSRN_gt: 22.671339 PSNR_gt_sm: 14.918685
Iteration 00056    Loss 0.006943   PSNR_noisy: 23.044714   PSRN_gt: 23.044714 PSNR_gt_sm: 14.994016
Iteration 00057    Loss 0.006995   PSNR_noisy: 23.057322   PSRN_gt: 23.057322 PSNR_gt_sm: 15.069326
Iteration 00058    Loss 0.006890   PSNR_noisy: 23.104643   PSRN_gt: 23.104643 PSNR_gt_sm: 15.143710
Iteration 00059    Loss 0.006643   PSNR_noisy: 23.284231   PSRN_gt: 23.284231 PSNR_gt_sm: 15.218872
Iteration 00060    Loss 0.006935   PSNR_noisy: 23.023685   PSRN_gt: 23.023685 PSNR_gt_sm: 15.293535
Iteration 00061    Loss 0.006587   PSNR_noisy: 23.333306   PSRN_gt: 23.333306 PSNR_gt_sm: 15.368714
Iteration 00062    Loss 0.006465   PSNR_noisy: 23.475160   PSRN_gt: 23.475160 PSNR_gt_sm: 15.443950
Iteration 00063    Loss 0.006503   PSNR_noisy: 23.446184   PSRN_gt: 23.446184 PSNR_gt_sm: 15.518398
Iteration 00064    Loss 0.006544   PSNR_noisy: 23.392124   PSRN_gt: 23.392124 PSNR_gt_sm: 15.592969
Iteration 00065    Loss 0.006402   PSNR_noisy: 23.501306   PSRN_gt: 23.501306 PSNR_gt_sm: 15.667642
Iteration 00066    Loss 0.006170   PSNR_noisy: 23.756843   PSRN_gt: 23.756843 PSNR_gt_sm: 15.742177
Iteration 00067    Loss 0.006165   PSNR_noisy: 23.766629   PSRN_gt: 23.766629 PSNR_gt_sm: 15.817116
Iteration 00068    Loss 0.006189   PSNR_noisy: 23.743107   PSRN_gt: 23.743107 PSNR_gt_sm: 15.891331
Iteration 00069    Loss 0.006236   PSNR_noisy: 23.731316   PSRN_gt: 23.731316 PSNR_gt_sm: 15.965711
Iteration 00070    Loss 0.006082   PSNR_noisy: 23.912198   PSRN_gt: 23.912198 PSNR_gt_sm: 16.039118
Iteration 00071    Loss 0.006012   PSNR_noisy: 23.934903   PSRN_gt: 23.934903 PSNR_gt_sm: 16.112364
Iteration 00072    Loss 0.005944   PSNR_noisy: 23.967767   PSRN_gt: 23.967767 PSNR_gt_sm: 16.186916
Iteration 00073    Loss 0.005977   PSNR_noisy: 23.940915   PSRN_gt: 23.940915 PSNR_gt_sm: 16.262103
Iteration 00074    Loss 0.005932   PSNR_noisy: 23.964176   PSRN_gt: 23.964176 PSNR_gt_sm: 16.337464
Iteration 00075    Loss 0.005801   PSNR_noisy: 24.125251   PSRN_gt: 24.125251 PSNR_gt_sm: 16.411531
Iteration 00076    Loss 0.005764   PSNR_noisy: 24.247505   PSRN_gt: 24.247505 PSNR_gt_sm: 16.484454
Iteration 00077    Loss 0.005767   PSNR_noisy: 24.166493   PSRN_gt: 24.166493 PSNR_gt_sm: 16.558171
Iteration 00078    Loss 0.005770   PSNR_noisy: 24.249646   PSRN_gt: 24.249646 PSNR_gt_sm: 16.630357
Iteration 00079    Loss 0.005840   PSNR_noisy: 24.221045   PSRN_gt: 24.221045 PSNR_gt_sm: 16.701316
Iteration 00080    Loss 0.005812   PSNR_noisy: 24.064810   PSRN_gt: 24.064810 PSNR_gt_sm: 16.771849
Iteration 00081    Loss 0.005738   PSNR_noisy: 24.135529   PSRN_gt: 24.135529 PSNR_gt_sm: 16.846558
Iteration 00082    Loss 0.005856   PSNR_noisy: 24.228693   PSRN_gt: 24.228693 PSNR_gt_sm: 16.921913
Iteration 00083    Loss 0.005593   PSNR_noisy: 24.405865   PSRN_gt: 24.405865 PSNR_gt_sm: 16.995575
Iteration 00084    Loss 0.005512   PSNR_noisy: 24.523268   PSRN_gt: 24.523268 PSNR_gt_sm: 17.067513
Iteration 00085    Loss 0.005578   PSNR_noisy: 24.446838   PSRN_gt: 24.446838 PSNR_gt_sm: 17.139400
Iteration 00086    Loss 0.005465   PSNR_noisy: 24.595412   PSRN_gt: 24.595412 PSNR_gt_sm: 17.209950
Iteration 00087    Loss 0.005499   PSNR_noisy: 24.594154   PSRN_gt: 24.594154 PSNR_gt_sm: 17.280972
Iteration 00088    Loss 0.005565   PSNR_noisy: 24.419098   PSRN_gt: 24.419098 PSNR_gt_sm: 17.352204
Iteration 00089    Loss 0.005457   PSNR_noisy: 24.594909   PSRN_gt: 24.594909 PSNR_gt_sm: 17.423303
Iteration 00090    Loss 0.005417   PSNR_noisy: 24.684915   PSRN_gt: 24.684915 PSNR_gt_sm: 17.496291
Iteration 00091    Loss 0.005649   PSNR_noisy: 24.419277   PSRN_gt: 24.419277 PSNR_gt_sm: 17.567667
Iteration 00092    Loss 0.005412   PSNR_noisy: 24.575374   PSRN_gt: 24.575374 PSNR_gt_sm: 17.638701
Iteration 00093    Loss 0.005414   PSNR_noisy: 24.552242   PSRN_gt: 24.552242 PSNR_gt_sm: 17.710244
Iteration 00094    Loss 0.005425   PSNR_noisy: 24.525085   PSRN_gt: 24.525085 PSNR_gt_sm: 17.781048
Iteration 00095    Loss 0.005389   PSNR_noisy: 24.762678   PSRN_gt: 24.762678 PSNR_gt_sm: 17.851366
Iteration 00096    Loss 0.005508   PSNR_noisy: 24.604566   PSRN_gt: 24.604566 PSNR_gt_sm: 17.921621
Iteration 00097    Loss 0.005412   PSNR_noisy: 24.759700   PSRN_gt: 24.759700 PSNR_gt_sm: 17.990124
Iteration 00098    Loss 0.005368   PSNR_noisy: 24.722875   PSRN_gt: 24.722875 PSNR_gt_sm: 18.056621
Iteration 00099    Loss 0.005427   PSNR_noisy: 24.565814   PSRN_gt: 24.565814 PSNR_gt_sm: 18.125239
Iteration 00100    Loss 0.005453   PSNR_noisy: 24.461850   PSRN_gt: 24.461850 PSNR_gt_sm: 18.193747
Iteration 00101    Loss 0.005341   PSNR_noisy: 24.679143   PSRN_gt: 24.679143 PSNR_gt_sm: 18.264643
Iteration 00102    Loss 0.005589   PSNR_noisy: 24.437025   PSRN_gt: 24.437025 PSNR_gt_sm: 18.335510
Iteration 00103    Loss 0.005436   PSNR_noisy: 24.642447   PSRN_gt: 24.642447 PSNR_gt_sm: 18.406067
Iteration 00104    Loss 0.005208   PSNR_noisy: 24.902796   PSRN_gt: 24.902796 PSNR_gt_sm: 18.473504
Iteration 00105    Loss 0.005263   PSNR_noisy: 24.822652   PSRN_gt: 24.822652 PSNR_gt_sm: 18.538103
Iteration 00106    Loss 0.005403   PSNR_noisy: 24.598522   PSRN_gt: 24.598522 PSNR_gt_sm: 18.601293
Iteration 00107    Loss 0.005266   PSNR_noisy: 24.763787   PSRN_gt: 24.763787 PSNR_gt_sm: 18.665869
Iteration 00108    Loss 0.005251   PSNR_noisy: 24.798875   PSRN_gt: 24.798875 PSNR_gt_sm: 18.732647
Iteration 00109    Loss 0.005206   PSNR_noisy: 24.862245   PSRN_gt: 24.862245 PSNR_gt_sm: 18.801305
Iteration 00110    Loss 0.005276   PSNR_noisy: 24.840125   PSRN_gt: 24.840125 PSNR_gt_sm: 18.869904
Iteration 00111    Loss 0.005276   PSNR_noisy: 24.831167   PSRN_gt: 24.831167 PSNR_gt_sm: 18.938868
