Iteration 00000    Loss 0.102311   PSNR_noisy: 9.900794   PSRN_gt: 9.900794 PSNR_gt_sm: 9.900794
Iteration 00001    Loss 0.053877   PSNR_noisy: 12.685926   PSRN_gt: 12.685926 PSNR_gt_sm: 9.932858
Iteration 00002    Loss 0.050752   PSNR_noisy: 12.945461   PSRN_gt: 12.945461 PSNR_gt_sm: 9.979650
Iteration 00003    Loss 0.035319   PSNR_noisy: 14.519900   PSRN_gt: 14.519900 PSNR_gt_sm: 10.043645
Iteration 00004    Loss 0.020593   PSNR_noisy: 16.862730   PSRN_gt: 16.862730 PSNR_gt_sm: 10.122404
Iteration 00005    Loss 0.022150   PSNR_noisy: 16.546292   PSRN_gt: 16.546292 PSNR_gt_sm: 10.206340
Iteration 00006    Loss 0.018901   PSNR_noisy: 17.235086   PSRN_gt: 17.235086 PSNR_gt_sm: 10.297102
Iteration 00007    Loss 0.017554   PSNR_noisy: 17.556137   PSRN_gt: 17.556137 PSNR_gt_sm: 10.388191
Iteration 00008    Loss 0.012708   PSNR_noisy: 18.959176   PSRN_gt: 18.959176 PSNR_gt_sm: 10.476283
Iteration 00009    Loss 0.011214   PSNR_noisy: 19.502479   PSRN_gt: 19.502479 PSNR_gt_sm: 10.561670
Iteration 00010    Loss 0.010032   PSNR_noisy: 19.986119   PSRN_gt: 19.986119 PSNR_gt_sm: 10.641974
Iteration 00011    Loss 0.008293   PSNR_noisy: 20.812980   PSRN_gt: 20.812980 PSNR_gt_sm: 10.722977
Iteration 00012    Loss 0.007755   PSNR_noisy: 21.104023   PSRN_gt: 21.104023 PSNR_gt_sm: 10.804499
Iteration 00013    Loss 0.007962   PSNR_noisy: 20.989729   PSRN_gt: 20.989729 PSNR_gt_sm: 10.886189
Iteration 00014    Loss 0.007183   PSNR_noisy: 21.436757   PSRN_gt: 21.436757 PSNR_gt_sm: 10.966780
Iteration 00015    Loss 0.006344   PSNR_noisy: 21.976230   PSRN_gt: 21.976230 PSNR_gt_sm: 11.049856
Iteration 00016    Loss 0.006413   PSNR_noisy: 21.929407   PSRN_gt: 21.929407 PSNR_gt_sm: 11.135767
Iteration 00017    Loss 0.006801   PSNR_noisy: 21.674256   PSRN_gt: 21.674256 PSNR_gt_sm: 11.223353
Iteration 00018    Loss 0.005480   PSNR_noisy: 22.611945   PSRN_gt: 22.611945 PSNR_gt_sm: 11.309104
Iteration 00019    Loss 0.004736   PSNR_noisy: 23.245565   PSRN_gt: 23.245565 PSNR_gt_sm: 11.394763
Iteration 00020    Loss 0.004809   PSNR_noisy: 23.179240   PSRN_gt: 23.179240 PSNR_gt_sm: 11.478354
Iteration 00021    Loss 0.004560   PSNR_noisy: 23.410763   PSRN_gt: 23.410763 PSNR_gt_sm: 11.560391
Iteration 00022    Loss 0.004692   PSNR_noisy: 23.286661   PSRN_gt: 23.286661 PSNR_gt_sm: 11.640791
Iteration 00023    Loss 0.004595   PSNR_noisy: 23.376896   PSRN_gt: 23.376896 PSNR_gt_sm: 11.722309
Iteration 00024    Loss 0.004340   PSNR_noisy: 23.624725   PSRN_gt: 23.624725 PSNR_gt_sm: 11.804396
Iteration 00025    Loss 0.004380   PSNR_noisy: 23.584817   PSRN_gt: 23.584817 PSNR_gt_sm: 11.887972
Iteration 00026    Loss 0.003922   PSNR_noisy: 24.065278   PSRN_gt: 24.065278 PSNR_gt_sm: 11.974420
Iteration 00027    Loss 0.003807   PSNR_noisy: 24.194342   PSRN_gt: 24.194342 PSNR_gt_sm: 12.059969
Iteration 00028    Loss 0.003681   PSNR_noisy: 24.340843   PSRN_gt: 24.340843 PSNR_gt_sm: 12.145854
Iteration 00029    Loss 0.003730   PSNR_noisy: 24.282517   PSRN_gt: 24.282517 PSNR_gt_sm: 12.231893
Iteration 00030    Loss 0.004026   PSNR_noisy: 23.950813   PSRN_gt: 23.950813 PSNR_gt_sm: 12.317056
Iteration 00031    Loss 0.003647   PSNR_noisy: 24.380878   PSRN_gt: 24.380878 PSNR_gt_sm: 12.401208
Iteration 00032    Loss 0.003407   PSNR_noisy: 24.676174   PSRN_gt: 24.676174 PSNR_gt_sm: 12.486364
Iteration 00033    Loss 0.003207   PSNR_noisy: 24.939515   PSRN_gt: 24.939515 PSNR_gt_sm: 12.570037
Iteration 00034    Loss 0.003607   PSNR_noisy: 24.428146   PSRN_gt: 24.428146 PSNR_gt_sm: 12.651915
Iteration 00035    Loss 0.003354   PSNR_noisy: 24.744449   PSRN_gt: 24.744449 PSNR_gt_sm: 12.735238
Iteration 00036    Loss 0.003117   PSNR_noisy: 25.062531   PSRN_gt: 25.062531 PSNR_gt_sm: 12.818166
Iteration 00037    Loss 0.003507   PSNR_noisy: 24.550167   PSRN_gt: 24.550167 PSNR_gt_sm: 12.900165
Iteration 00038    Loss 0.003298   PSNR_noisy: 24.816989   PSRN_gt: 24.816989 PSNR_gt_sm: 12.983153
Iteration 00039    Loss 0.003028   PSNR_noisy: 25.188700   PSRN_gt: 25.188700 PSNR_gt_sm: 13.067058
Iteration 00040    Loss 0.002973   PSNR_noisy: 25.267826   PSRN_gt: 25.267826 PSNR_gt_sm: 13.152717
Iteration 00041    Loss 0.003420   PSNR_noisy: 24.659634   PSRN_gt: 24.659634 PSNR_gt_sm: 13.237020
Iteration 00042    Loss 0.002832   PSNR_noisy: 25.478341   PSRN_gt: 25.478341 PSNR_gt_sm: 13.322125
Iteration 00043    Loss 0.002983   PSNR_noisy: 25.253646   PSRN_gt: 25.253646 PSNR_gt_sm: 13.406748
Iteration 00044    Loss 0.002698   PSNR_noisy: 25.689501   PSRN_gt: 25.689501 PSNR_gt_sm: 13.491300
Iteration 00045    Loss 0.002607   PSNR_noisy: 25.839281   PSRN_gt: 25.839281 PSNR_gt_sm: 13.574471
Iteration 00046    Loss 0.002635   PSNR_noisy: 25.792441   PSRN_gt: 25.792441 PSNR_gt_sm: 13.656678
Iteration 00047    Loss 0.002570   PSNR_noisy: 25.901082   PSRN_gt: 25.901082 PSNR_gt_sm: 13.738811
Iteration 00048    Loss 0.002918   PSNR_noisy: 25.349607   PSRN_gt: 25.349607 PSNR_gt_sm: 13.820855
Iteration 00049    Loss 0.002553   PSNR_noisy: 25.929262   PSRN_gt: 25.929262 PSNR_gt_sm: 13.903468
Iteration 00050    Loss 0.002471   PSNR_noisy: 26.071756   PSRN_gt: 26.071756 PSNR_gt_sm: 13.988028
Iteration 00051    Loss 0.002511   PSNR_noisy: 26.001649   PSRN_gt: 26.001649 PSNR_gt_sm: 14.072133
Iteration 00052    Loss 0.002559   PSNR_noisy: 25.919170   PSRN_gt: 25.919170 PSNR_gt_sm: 14.156384
Iteration 00053    Loss 0.002459   PSNR_noisy: 26.092373   PSRN_gt: 26.092373 PSNR_gt_sm: 14.240404
Iteration 00054    Loss 0.002402   PSNR_noisy: 26.194456   PSRN_gt: 26.194456 PSNR_gt_sm: 14.324307
Iteration 00055    Loss 0.002306   PSNR_noisy: 26.371963   PSRN_gt: 26.371963 PSNR_gt_sm: 14.407959
Iteration 00056    Loss 0.002239   PSNR_noisy: 26.498750   PSRN_gt: 26.498750 PSNR_gt_sm: 14.490406
Iteration 00057    Loss 0.002405   PSNR_noisy: 26.189273   PSRN_gt: 26.189273 PSNR_gt_sm: 14.573397
Iteration 00058    Loss 0.002328   PSNR_noisy: 26.329447   PSRN_gt: 26.329447 PSNR_gt_sm: 14.655640
Iteration 00059    Loss 0.002241   PSNR_noisy: 26.496102   PSRN_gt: 26.496102 PSNR_gt_sm: 14.738913
Iteration 00060    Loss 0.002194   PSNR_noisy: 26.587763   PSRN_gt: 26.587763 PSNR_gt_sm: 14.822114
Iteration 00061    Loss 0.002485   PSNR_noisy: 26.046747   PSRN_gt: 26.046747 PSNR_gt_sm: 14.904632
Iteration 00062    Loss 0.002318   PSNR_noisy: 26.349800   PSRN_gt: 26.349800 PSNR_gt_sm: 14.988343
Iteration 00063    Loss 0.002218   PSNR_noisy: 26.539462   PSRN_gt: 26.539462 PSNR_gt_sm: 15.072343
Iteration 00064    Loss 0.002255   PSNR_noisy: 26.468466   PSRN_gt: 26.468466 PSNR_gt_sm: 15.155100
Iteration 00065    Loss 0.002191   PSNR_noisy: 26.594093   PSRN_gt: 26.594093 PSNR_gt_sm: 15.237813
Iteration 00066    Loss 0.002392   PSNR_noisy: 26.212725   PSRN_gt: 26.212725 PSNR_gt_sm: 15.320733
Iteration 00067    Loss 0.002142   PSNR_noisy: 26.692525   PSRN_gt: 26.692525 PSNR_gt_sm: 15.404074
Iteration 00068    Loss 0.002209   PSNR_noisy: 26.558448   PSRN_gt: 26.558448 PSNR_gt_sm: 15.486816
Iteration 00069    Loss 0.002204   PSNR_noisy: 26.567911   PSRN_gt: 26.567911 PSNR_gt_sm: 15.568406
Iteration 00070    Loss 0.002276   PSNR_noisy: 26.429173   PSRN_gt: 26.429173 PSNR_gt_sm: 15.649264
Iteration 00071    Loss 0.002074   PSNR_noisy: 26.832800   PSRN_gt: 26.832800 PSNR_gt_sm: 15.731499
Iteration 00072    Loss 0.002064   PSNR_noisy: 26.852101   PSRN_gt: 26.852101 PSNR_gt_sm: 15.813119
Iteration 00073    Loss 0.002115   PSNR_noisy: 26.746455   PSRN_gt: 26.746455 PSNR_gt_sm: 15.895007
Iteration 00074    Loss 0.002042   PSNR_noisy: 26.899216   PSRN_gt: 26.899216 PSNR_gt_sm: 15.979115
Iteration 00075    Loss 0.002159   PSNR_noisy: 26.657392   PSRN_gt: 26.657392 PSNR_gt_sm: 16.063823
Iteration 00076    Loss 0.002029   PSNR_noisy: 26.927310   PSRN_gt: 26.927310 PSNR_gt_sm: 16.146319
Iteration 00077    Loss 0.002235   PSNR_noisy: 26.507953   PSRN_gt: 26.507953 PSNR_gt_sm: 16.227074
Iteration 00078    Loss 0.002068   PSNR_noisy: 26.845533   PSRN_gt: 26.845533 PSNR_gt_sm: 16.307879
Iteration 00079    Loss 0.001973   PSNR_noisy: 27.048427   PSRN_gt: 27.048427 PSNR_gt_sm: 16.388590
Iteration 00080    Loss 0.002116   PSNR_noisy: 26.745050   PSRN_gt: 26.745050 PSNR_gt_sm: 16.468752
Iteration 00081    Loss 0.001981   PSNR_noisy: 27.030085   PSRN_gt: 27.030085 PSNR_gt_sm: 16.551122
Iteration 00082    Loss 0.001903   PSNR_noisy: 27.206157   PSRN_gt: 27.206157 PSNR_gt_sm: 16.633302
Iteration 00083    Loss 0.001957   PSNR_noisy: 27.084298   PSRN_gt: 27.084298 PSNR_gt_sm: 16.715025
Iteration 00084    Loss 0.002017   PSNR_noisy: 26.951975   PSRN_gt: 26.951975 PSNR_gt_sm: 16.797990
Iteration 00085    Loss 0.001866   PSNR_noisy: 27.291930   PSRN_gt: 27.291930 PSNR_gt_sm: 16.879891
Iteration 00086    Loss 0.001998   PSNR_noisy: 26.993674   PSRN_gt: 26.993674 PSNR_gt_sm: 16.962016
Iteration 00087    Loss 0.002083   PSNR_noisy: 26.813022   PSRN_gt: 26.813022 PSNR_gt_sm: 17.041400
Iteration 00088    Loss 0.002018   PSNR_noisy: 26.949907   PSRN_gt: 26.949907 PSNR_gt_sm: 17.120964
Iteration 00089    Loss 0.002085   PSNR_noisy: 26.808959   PSRN_gt: 26.808959 PSNR_gt_sm: 17.200962
Iteration 00090    Loss 0.001844   PSNR_noisy: 27.341289   PSRN_gt: 27.341289 PSNR_gt_sm: 17.281090
Iteration 00091    Loss 0.001855   PSNR_noisy: 27.315674   PSRN_gt: 27.315674 PSNR_gt_sm: 17.361886
Iteration 00092    Loss 0.001862   PSNR_noisy: 27.300561   PSRN_gt: 27.300561 PSNR_gt_sm: 17.443177
Iteration 00093    Loss 0.001847   PSNR_noisy: 27.335755   PSRN_gt: 27.335755 PSNR_gt_sm: 17.524315
Iteration 00094    Loss 0.001874   PSNR_noisy: 27.272530   PSRN_gt: 27.272530 PSNR_gt_sm: 17.604724
Iteration 00095    Loss 0.001818   PSNR_noisy: 27.403890   PSRN_gt: 27.403890 PSNR_gt_sm: 17.686060
Iteration 00096    Loss 0.001794   PSNR_noisy: 27.461367   PSRN_gt: 27.461367 PSNR_gt_sm: 17.766844
Iteration 00097    Loss 0.001808   PSNR_noisy: 27.428690   PSRN_gt: 27.428690 PSNR_gt_sm: 17.846290
Iteration 00098    Loss 0.001851   PSNR_noisy: 27.325401   PSRN_gt: 27.325401 PSNR_gt_sm: 17.926221
Iteration 00099    Loss 0.001845   PSNR_noisy: 27.339561   PSRN_gt: 27.339561 PSNR_gt_sm: 18.006183
Iteration 00100    Loss 0.001832   PSNR_noisy: 27.371248   PSRN_gt: 27.371248 PSNR_gt_sm: 18.084965
Iteration 00101    Loss 0.001856   PSNR_noisy: 27.315026   PSRN_gt: 27.315026 PSNR_gt_sm: 18.163063
Iteration 00102    Loss 0.001831   PSNR_noisy: 27.372796   PSRN_gt: 27.372796 PSNR_gt_sm: 18.243158
Iteration 00103    Loss 0.001758   PSNR_noisy: 27.549012   PSRN_gt: 27.549012 PSNR_gt_sm: 18.323031
Iteration 00104    Loss 0.001793   PSNR_noisy: 27.465070   PSRN_gt: 27.465070 PSNR_gt_sm: 18.402993
Iteration 00105    Loss 0.001762   PSNR_noisy: 27.539416   PSRN_gt: 27.539416 PSNR_gt_sm: 18.482061
Iteration 00106    Loss 0.001788   PSNR_noisy: 27.477390   PSRN_gt: 27.477390 PSNR_gt_sm: 18.561384
Iteration 00107    Loss 0.001805   PSNR_noisy: 27.435450   PSRN_gt: 27.435450 PSNR_gt_sm: 18.638942
Iteration 00108    Loss 0.001807   PSNR_noisy: 27.431574   PSRN_gt: 27.431574 PSNR_gt_sm: 18.717050
Iteration 00109    Loss 0.001759   PSNR_noisy: 27.548399   PSRN_gt: 27.548399 PSNR_gt_sm: 18.793411
Iteration 00110    Loss 0.001780   PSNR_noisy: 27.496090   PSRN_gt: 27.496090 PSNR_gt_sm: 18.871519
Iteration 00111    Loss 0.001770   PSNR_noisy: 27.520708   PSRN_gt: 27.520708 PSNR_gt_sm: 18.950354
Iteration 00112    Loss 0.001709   PSNR_noisy: 27.672840   PSRN_gt: 27.672840 PSNR_gt_sm: 19.030173
Iteration 00113    Loss 0.001743   PSNR_noisy: 27.587457   PSRN_gt: 27.587457 PSNR_gt_sm: 19.108561
Iteration 00114    Loss 0.001722   PSNR_noisy: 27.639322   PSRN_gt: 27.639322 PSNR_gt_sm: 19.185427
Iteration 00115    Loss 0.001762   PSNR_noisy: 27.541124   PSRN_gt: 27.541124 PSNR_gt_sm: 19.260664
Iteration 00116    Loss 0.001859   PSNR_noisy: 27.307691   PSRN_gt: 27.307691 PSNR_gt_sm: 19.337516
Iteration 00117    Loss 0.001742   PSNR_noisy: 27.589467   PSRN_gt: 27.589467 PSNR_gt_sm: 19.413901
Iteration 00118    Loss 0.001654   PSNR_noisy: 27.814012   PSRN_gt: 27.814012 PSNR_gt_sm: 19.491737
Iteration 00119    Loss 0.001754   PSNR_noisy: 27.560862   PSRN_gt: 27.560862 PSNR_gt_sm: 19.569793
Iteration 00120    Loss 0.001733   PSNR_noisy: 27.611677   PSRN_gt: 27.611677 PSNR_gt_sm: 19.645839
Iteration 00121    Loss 0.001672   PSNR_noisy: 27.768882   PSRN_gt: 27.768882 PSNR_gt_sm: 19.721475
Iteration 00122    Loss 0.001743   PSNR_noisy: 27.587148   PSRN_gt: 27.587148 PSNR_gt_sm: 19.797815
Iteration 00123    Loss 0.001703   PSNR_noisy: 27.688166   PSRN_gt: 27.688166 PSNR_gt_sm: 19.873721
Iteration 00124    Loss 0.001755   PSNR_noisy: 27.556625   PSRN_gt: 27.556625 PSNR_gt_sm: 19.949213
Iteration 00125    Loss 0.001738   PSNR_noisy: 27.600428   PSRN_gt: 27.600428 PSNR_gt_sm: 20.023987
Iteration 00126    Loss 0.001726   PSNR_noisy: 27.630077   PSRN_gt: 27.630077 PSNR_gt_sm: 20.098439
Iteration 00127    Loss 0.001798   PSNR_noisy: 27.451024   PSRN_gt: 27.451024 PSNR_gt_sm: 20.172716
Iteration 00128    Loss 0.001642   PSNR_noisy: 27.845792   PSRN_gt: 27.845792 PSNR_gt_sm: 20.247912
Iteration 00129    Loss 0.001678   PSNR_noisy: 27.752287   PSRN_gt: 27.752287 PSNR_gt_sm: 20.324454
Iteration 00130    Loss 0.001671   PSNR_noisy: 27.770847   PSRN_gt: 27.770847 PSNR_gt_sm: 20.400111
Iteration 00131    Loss 0.001669   PSNR_noisy: 27.774964   PSRN_gt: 27.774964 PSNR_gt_sm: 20.475621
Iteration 00132    Loss 0.001735   PSNR_noisy: 27.606323   PSRN_gt: 27.606323 PSNR_gt_sm: 20.550280
Iteration 00133    Loss 0.001657   PSNR_noisy: 27.806944   PSRN_gt: 27.806944 PSNR_gt_sm: 20.622678
Iteration 00134    Loss 0.001623   PSNR_noisy: 27.897188   PSRN_gt: 27.897188 PSNR_gt_sm: 20.695870
Iteration 00135    Loss 0.001589   PSNR_noisy: 27.989391   PSRN_gt: 27.989391 PSNR_gt_sm: 20.768996
Iteration 00136    Loss 0.001660   PSNR_noisy: 27.798208   PSRN_gt: 27.798208 PSNR_gt_sm: 20.841141
Iteration 00137    Loss 0.001557   PSNR_noisy: 28.077573   PSRN_gt: 28.077573 PSNR_gt_sm: 20.914589
Iteration 00138    Loss 0.001622   PSNR_noisy: 27.898272   PSRN_gt: 27.898272 PSNR_gt_sm: 20.988050
Iteration 00139    Loss 0.001585   PSNR_noisy: 27.999747   PSRN_gt: 27.999747 PSNR_gt_sm: 21.060572
Iteration 00140    Loss 0.001538   PSNR_noisy: 28.129808   PSRN_gt: 28.129808 PSNR_gt_sm: 21.133775
Iteration 00141    Loss 0.001599   PSNR_noisy: 27.961457   PSRN_gt: 27.961457 PSNR_gt_sm: 21.207260
Iteration 00142    Loss 0.001586   PSNR_noisy: 27.995633   PSRN_gt: 27.995633 PSNR_gt_sm: 21.282960
Iteration 00143    Loss 0.001575   PSNR_noisy: 28.026750   PSRN_gt: 28.026750 PSNR_gt_sm: 21.355047
Iteration 00144    Loss 0.001578   PSNR_noisy: 28.020044   PSRN_gt: 28.020044 PSNR_gt_sm: 21.427024
Iteration 00145    Loss 0.001564   PSNR_noisy: 28.057540   PSRN_gt: 28.057540 PSNR_gt_sm: 21.497117
Iteration 00146    Loss 0.001545   PSNR_noisy: 28.110696   PSRN_gt: 28.110696 PSNR_gt_sm: 21.567118
Iteration 00147    Loss 0.001514   PSNR_noisy: 28.197541   PSRN_gt: 28.197541 PSNR_gt_sm: 21.638474
Iteration 00148    Loss 0.001564   PSNR_noisy: 28.058947   PSRN_gt: 28.058947 PSNR_gt_sm: 21.708113
Iteration 00149    Loss 0.001529   PSNR_noisy: 28.157278   PSRN_gt: 28.157278 PSNR_gt_sm: 21.779664
Iteration 00150    Loss 0.001513   PSNR_noisy: 28.200543   PSRN_gt: 28.200543 PSNR_gt_sm: 21.850262
Iteration 00151    Loss 0.001504   PSNR_noisy: 28.227507   PSRN_gt: 28.227507 PSNR_gt_sm: 21.921142
Iteration 00152    Loss 0.001516   PSNR_noisy: 28.192106   PSRN_gt: 28.192106 PSNR_gt_sm: 21.990419
Iteration 00153    Loss 0.001534   PSNR_noisy: 28.140903   PSRN_gt: 28.140903 PSNR_gt_sm: 22.059799
Iteration 00154    Loss 0.001603   PSNR_noisy: 27.950791   PSRN_gt: 27.950791 PSNR_gt_sm: 22.130096
Iteration 00155    Loss 0.001569   PSNR_noisy: 28.043410   PSRN_gt: 28.043410 PSNR_gt_sm: 22.199734
Iteration 00156    Loss 0.001497   PSNR_noisy: 28.247123   PSRN_gt: 28.247123 PSNR_gt_sm: 22.268887
Iteration 00157    Loss 0.001585   PSNR_noisy: 27.999605   PSRN_gt: 27.999605 PSNR_gt_sm: 22.335382
Iteration 00158    Loss 0.001522   PSNR_noisy: 28.174659   PSRN_gt: 28.174659 PSNR_gt_sm: 22.402530
Iteration 00159    Loss 0.001506   PSNR_noisy: 28.222992   PSRN_gt: 28.222992 PSNR_gt_sm: 22.471870
Iteration 00160    Loss 0.001519   PSNR_noisy: 28.185524   PSRN_gt: 28.185524 PSNR_gt_sm: 22.542184
Iteration 00161    Loss 0.001652   PSNR_noisy: 27.820362   PSRN_gt: 27.820362 PSNR_gt_sm: 22.611326
Iteration 00162    Loss 0.001459   PSNR_noisy: 28.358312   PSRN_gt: 28.358312 PSNR_gt_sm: 22.679527
Iteration 00163    Loss 0.001467   PSNR_noisy: 28.334722   PSRN_gt: 28.334722 PSNR_gt_sm: 22.746213
Iteration 00164    Loss 0.001543   PSNR_noisy: 28.117677   PSRN_gt: 28.117677 PSNR_gt_sm: 22.813421
Iteration 00165    Loss 0.001489   PSNR_noisy: 28.269811   PSRN_gt: 28.269811 PSNR_gt_sm: 22.878952
Iteration 00166    Loss 0.001481   PSNR_noisy: 28.293526   PSRN_gt: 28.293526 PSNR_gt_sm: 22.942585
Iteration 00167    Loss 0.001434   PSNR_noisy: 28.433201   PSRN_gt: 28.433201 PSNR_gt_sm: 23.009292
Iteration 00168    Loss 0.001505   PSNR_noisy: 28.225167   PSRN_gt: 28.225167 PSNR_gt_sm: 23.072483
Iteration 00169    Loss 0.001440   PSNR_noisy: 28.416437   PSRN_gt: 28.416437 PSNR_gt_sm: 23.139753
Iteration 00170    Loss 0.001416   PSNR_noisy: 28.489920   PSRN_gt: 28.489920 PSNR_gt_sm: 23.207259
Iteration 00171    Loss 0.001435   PSNR_noisy: 28.431496   PSRN_gt: 28.431496 PSNR_gt_sm: 23.275805
Iteration 00172    Loss 0.001412   PSNR_noisy: 28.501478   PSRN_gt: 28.501478 PSNR_gt_sm: 23.342495
Iteration 00173    Loss 0.001380   PSNR_noisy: 28.600471   PSRN_gt: 28.600471 PSNR_gt_sm: 23.408242
Iteration 00174    Loss 0.001406   PSNR_noisy: 28.519230   PSRN_gt: 28.519230 PSNR_gt_sm: 23.470912
