Iteration 00000    Loss 0.142672   PSNR_noisy: 8.456605   PSRN_gt: 8.456605 PSNR_gt_sm: 8.456605
Iteration 00001    Loss 0.082397   PSNR_noisy: 10.840897   PSRN_gt: 10.840897 PSNR_gt_sm: 8.483682
Iteration 00002    Loss 0.061312   PSNR_noisy: 12.124573   PSRN_gt: 12.124573 PSNR_gt_sm: 8.527305
Iteration 00003    Loss 0.037213   PSNR_noisy: 14.293108   PSRN_gt: 14.293108 PSNR_gt_sm: 8.587906
Iteration 00004    Loss 0.023051   PSNR_noisy: 16.373106   PSRN_gt: 16.373106 PSNR_gt_sm: 8.660805
Iteration 00005    Loss 0.015121   PSNR_noisy: 18.204196   PSRN_gt: 18.204196 PSNR_gt_sm: 8.747045
Iteration 00006    Loss 0.014955   PSNR_noisy: 18.252160   PSRN_gt: 18.252160 PSNR_gt_sm: 8.838013
Iteration 00007    Loss 0.015343   PSNR_noisy: 18.141039   PSRN_gt: 18.141039 PSNR_gt_sm: 8.931468
Iteration 00008    Loss 0.013616   PSNR_noisy: 18.659635   PSRN_gt: 18.659635 PSNR_gt_sm: 9.023142
Iteration 00009    Loss 0.010616   PSNR_noisy: 19.740366   PSRN_gt: 19.740366 PSNR_gt_sm: 9.111677
Iteration 00010    Loss 0.010159   PSNR_noisy: 19.931489   PSRN_gt: 19.931489 PSNR_gt_sm: 9.197869
Iteration 00011    Loss 0.009140   PSNR_noisy: 20.390527   PSRN_gt: 20.390527 PSNR_gt_sm: 9.279347
Iteration 00012    Loss 0.008609   PSNR_noisy: 20.650572   PSRN_gt: 20.650572 PSNR_gt_sm: 9.359488
Iteration 00013    Loss 0.007556   PSNR_noisy: 21.216813   PSRN_gt: 21.216813 PSNR_gt_sm: 9.445422
Iteration 00014    Loss 0.007635   PSNR_noisy: 21.171999   PSRN_gt: 21.171999 PSNR_gt_sm: 9.534469
Iteration 00015    Loss 0.007689   PSNR_noisy: 21.141208   PSRN_gt: 21.141208 PSNR_gt_sm: 9.625871
Iteration 00016    Loss 0.006594   PSNR_noisy: 21.808480   PSRN_gt: 21.808480 PSNR_gt_sm: 9.711459
Iteration 00017    Loss 0.007001   PSNR_noisy: 21.548216   PSRN_gt: 21.548216 PSNR_gt_sm: 9.794657
Iteration 00018    Loss 0.006111   PSNR_noisy: 22.138994   PSRN_gt: 22.138994 PSNR_gt_sm: 9.877682
Iteration 00019    Loss 0.005459   PSNR_noisy: 22.629257   PSRN_gt: 22.629257 PSNR_gt_sm: 9.959783
Iteration 00020    Loss 0.005377   PSNR_noisy: 22.694228   PSRN_gt: 22.694228 PSNR_gt_sm: 10.043785
Iteration 00021    Loss 0.005147   PSNR_noisy: 22.884709   PSRN_gt: 22.884709 PSNR_gt_sm: 10.131373
Iteration 00022    Loss 0.005055   PSNR_noisy: 22.962720   PSRN_gt: 22.962720 PSNR_gt_sm: 10.217645
Iteration 00023    Loss 0.004775   PSNR_noisy: 23.210191   PSRN_gt: 23.210191 PSNR_gt_sm: 10.303829
Iteration 00024    Loss 0.004551   PSNR_noisy: 23.419123   PSRN_gt: 23.419123 PSNR_gt_sm: 10.389208
Iteration 00025    Loss 0.004390   PSNR_noisy: 23.575129   PSRN_gt: 23.575129 PSNR_gt_sm: 10.474234
Iteration 00026    Loss 0.004462   PSNR_noisy: 23.504484   PSRN_gt: 23.504484 PSNR_gt_sm: 10.559947
Iteration 00027    Loss 0.004188   PSNR_noisy: 23.780328   PSRN_gt: 23.780328 PSNR_gt_sm: 10.642158
Iteration 00028    Loss 0.003896   PSNR_noisy: 24.094099   PSRN_gt: 24.094099 PSNR_gt_sm: 10.724494
Iteration 00029    Loss 0.003849   PSNR_noisy: 24.146239   PSRN_gt: 24.146239 PSNR_gt_sm: 10.810873
Iteration 00030    Loss 0.003714   PSNR_noisy: 24.301373   PSRN_gt: 24.301373 PSNR_gt_sm: 10.898832
Iteration 00031    Loss 0.003796   PSNR_noisy: 24.206178   PSRN_gt: 24.206178 PSNR_gt_sm: 10.988994
Iteration 00032    Loss 0.003466   PSNR_noisy: 24.601106   PSRN_gt: 24.601106 PSNR_gt_sm: 11.076488
Iteration 00033    Loss 0.003388   PSNR_noisy: 24.700217   PSRN_gt: 24.700217 PSNR_gt_sm: 11.162882
Iteration 00034    Loss 0.003794   PSNR_noisy: 24.208621   PSRN_gt: 24.208621 PSNR_gt_sm: 11.246329
Iteration 00035    Loss 0.003321   PSNR_noisy: 24.787796   PSRN_gt: 24.787796 PSNR_gt_sm: 11.329776
Iteration 00036    Loss 0.003007   PSNR_noisy: 25.218834   PSRN_gt: 25.218834 PSNR_gt_sm: 11.414085
Iteration 00037    Loss 0.003209   PSNR_noisy: 24.936037   PSRN_gt: 24.936037 PSNR_gt_sm: 11.498032
Iteration 00038    Loss 0.003065   PSNR_noisy: 25.135221   PSRN_gt: 25.135221 PSNR_gt_sm: 11.584274
Iteration 00039    Loss 0.003158   PSNR_noisy: 25.005328   PSRN_gt: 25.005328 PSNR_gt_sm: 11.672130
Iteration 00040    Loss 0.003260   PSNR_noisy: 24.867261   PSRN_gt: 24.867261 PSNR_gt_sm: 11.761428
Iteration 00041    Loss 0.002973   PSNR_noisy: 25.268415   PSRN_gt: 25.268415 PSNR_gt_sm: 11.848902
Iteration 00042    Loss 0.002941   PSNR_noisy: 25.314950   PSRN_gt: 25.314950 PSNR_gt_sm: 11.933271
Iteration 00043    Loss 0.003129   PSNR_noisy: 25.045638   PSRN_gt: 25.045638 PSNR_gt_sm: 12.015854
Iteration 00044    Loss 0.002971   PSNR_noisy: 25.271369   PSRN_gt: 25.271369 PSNR_gt_sm: 12.098151
Iteration 00045    Loss 0.002793   PSNR_noisy: 25.539386   PSRN_gt: 25.539386 PSNR_gt_sm: 12.181459
Iteration 00046    Loss 0.002686   PSNR_noisy: 25.709132   PSRN_gt: 25.709132 PSNR_gt_sm: 12.267875
Iteration 00047    Loss 0.002936   PSNR_noisy: 25.322325   PSRN_gt: 25.322325 PSNR_gt_sm: 12.355147
Iteration 00048    Loss 0.002925   PSNR_noisy: 25.339270   PSRN_gt: 25.339270 PSNR_gt_sm: 12.443263
Iteration 00049    Loss 0.002756   PSNR_noisy: 25.596712   PSRN_gt: 25.596712 PSNR_gt_sm: 12.529874
Iteration 00050    Loss 0.002814   PSNR_noisy: 25.507497   PSRN_gt: 25.507497 PSNR_gt_sm: 12.614832
Iteration 00051    Loss 0.002497   PSNR_noisy: 26.025914   PSRN_gt: 26.025914 PSNR_gt_sm: 12.698262
