Iteration 00000    Loss 0.148865   PSNR_noisy: 8.272062   PSRN_gt: 8.272062 PSNR_gt_sm: 8.272062
Iteration 00001    Loss 0.088693   PSNR_noisy: 10.521123   PSRN_gt: 10.521123 PSNR_gt_sm: 8.298277
Iteration 00002    Loss 0.079428   PSNR_noisy: 11.000261   PSRN_gt: 11.000261 PSNR_gt_sm: 8.339270
Iteration 00003    Loss 0.033267   PSNR_noisy: 14.779837   PSRN_gt: 14.779837 PSNR_gt_sm: 8.397976
Iteration 00004    Loss 0.018834   PSNR_noisy: 17.250478   PSRN_gt: 17.250478 PSNR_gt_sm: 8.472746
Iteration 00005    Loss 0.017174   PSNR_noisy: 17.651286   PSRN_gt: 17.651286 PSNR_gt_sm: 8.555956
Iteration 00006    Loss 0.017263   PSNR_noisy: 17.628814   PSRN_gt: 17.628814 PSNR_gt_sm: 8.646866
Iteration 00007    Loss 0.015988   PSNR_noisy: 17.962159   PSRN_gt: 17.962159 PSNR_gt_sm: 8.740797
Iteration 00008    Loss 0.014378   PSNR_noisy: 18.423054   PSRN_gt: 18.423054 PSNR_gt_sm: 8.832550
Iteration 00009    Loss 0.013788   PSNR_noisy: 18.604886   PSRN_gt: 18.604886 PSNR_gt_sm: 8.920024
Iteration 00010    Loss 0.010336   PSNR_noisy: 19.856358   PSRN_gt: 19.856358 PSNR_gt_sm: 9.005901
Iteration 00011    Loss 0.010436   PSNR_noisy: 19.814784   PSRN_gt: 19.814784 PSNR_gt_sm: 9.087706
Iteration 00012    Loss 0.009477   PSNR_noisy: 20.233422   PSRN_gt: 20.233422 PSNR_gt_sm: 9.170652
Iteration 00013    Loss 0.007806   PSNR_noisy: 21.075562   PSRN_gt: 21.075562 PSNR_gt_sm: 9.255990
Iteration 00014    Loss 0.007268   PSNR_noisy: 21.385788   PSRN_gt: 21.385788 PSNR_gt_sm: 9.342657
Iteration 00015    Loss 0.005675   PSNR_noisy: 22.460331   PSRN_gt: 22.460331 PSNR_gt_sm: 9.430275
Iteration 00016    Loss 0.005474   PSNR_noisy: 22.616700   PSRN_gt: 22.616700 PSNR_gt_sm: 9.518292
Iteration 00017    Loss 0.005567   PSNR_noisy: 22.543469   PSRN_gt: 22.543469 PSNR_gt_sm: 9.605217
Iteration 00018    Loss 0.005460   PSNR_noisy: 22.627734   PSRN_gt: 22.627734 PSNR_gt_sm: 9.689085
Iteration 00019    Loss 0.004841   PSNR_noisy: 23.150421   PSRN_gt: 23.150421 PSNR_gt_sm: 9.775102
Iteration 00020    Loss 0.004518   PSNR_noisy: 23.450202   PSRN_gt: 23.450202 PSNR_gt_sm: 9.861088
Iteration 00021    Loss 0.005454   PSNR_noisy: 22.633234   PSRN_gt: 22.633234 PSNR_gt_sm: 9.946395
Iteration 00022    Loss 0.005061   PSNR_noisy: 22.957232   PSRN_gt: 22.957232 PSNR_gt_sm: 10.032225
Iteration 00023    Loss 0.004795   PSNR_noisy: 23.192127   PSRN_gt: 23.192127 PSNR_gt_sm: 10.119281
Iteration 00024    Loss 0.004434   PSNR_noisy: 23.531963   PSRN_gt: 23.531963 PSNR_gt_sm: 10.204278
Iteration 00025    Loss 0.004619   PSNR_noisy: 23.354621   PSRN_gt: 23.354621 PSNR_gt_sm: 10.290237
Iteration 00026    Loss 0.003731   PSNR_noisy: 24.281429   PSRN_gt: 24.281429 PSNR_gt_sm: 10.376052
Iteration 00027    Loss 0.004162   PSNR_noisy: 23.806906   PSRN_gt: 23.806906 PSNR_gt_sm: 10.462526
Iteration 00028    Loss 0.003677   PSNR_noisy: 24.344922   PSRN_gt: 24.344922 PSNR_gt_sm: 10.549139
Iteration 00029    Loss 0.003446   PSNR_noisy: 24.626717   PSRN_gt: 24.626717 PSNR_gt_sm: 10.635471
Iteration 00030    Loss 0.003497   PSNR_noisy: 24.562468   PSRN_gt: 24.562468 PSNR_gt_sm: 10.721585
Iteration 00031    Loss 0.003292   PSNR_noisy: 24.825695   PSRN_gt: 24.825695 PSNR_gt_sm: 10.808240
Iteration 00032    Loss 0.003215   PSNR_noisy: 24.927787   PSRN_gt: 24.927787 PSNR_gt_sm: 10.893934
Iteration 00033    Loss 0.003286   PSNR_noisy: 24.833433   PSRN_gt: 24.833433 PSNR_gt_sm: 10.980848
Iteration 00034    Loss 0.003498   PSNR_noisy: 24.561464   PSRN_gt: 24.561464 PSNR_gt_sm: 11.068408
Iteration 00035    Loss 0.003277   PSNR_noisy: 24.844951   PSRN_gt: 24.844951 PSNR_gt_sm: 11.153657
Iteration 00036    Loss 0.002799   PSNR_noisy: 25.529837   PSRN_gt: 25.529837 PSNR_gt_sm: 11.239319
Iteration 00037    Loss 0.003071   PSNR_noisy: 25.126768   PSRN_gt: 25.126768 PSNR_gt_sm: 11.324545
Iteration 00038    Loss 0.002805   PSNR_noisy: 25.520060   PSRN_gt: 25.520060 PSNR_gt_sm: 11.411566
Iteration 00039    Loss 0.003124   PSNR_noisy: 25.052822   PSRN_gt: 25.052822 PSNR_gt_sm: 11.496927
Iteration 00040    Loss 0.002952   PSNR_noisy: 25.298424   PSRN_gt: 25.298424 PSNR_gt_sm: 11.580904
Iteration 00041    Loss 0.002971   PSNR_noisy: 25.270426   PSRN_gt: 25.270426 PSNR_gt_sm: 11.665612
Iteration 00042    Loss 0.002936   PSNR_noisy: 25.322627   PSRN_gt: 25.322627 PSNR_gt_sm: 11.751898
Iteration 00043    Loss 0.002562   PSNR_noisy: 25.914994   PSRN_gt: 25.914994 PSNR_gt_sm: 11.837623
Iteration 00044    Loss 0.002555   PSNR_noisy: 25.925320   PSRN_gt: 25.925320 PSNR_gt_sm: 11.923712
Iteration 00045    Loss 0.002543   PSNR_noisy: 25.946311   PSRN_gt: 25.946311 PSNR_gt_sm: 12.010029
Iteration 00046    Loss 0.002489   PSNR_noisy: 26.039509   PSRN_gt: 26.039509 PSNR_gt_sm: 12.096408
Iteration 00047    Loss 0.002668   PSNR_noisy: 25.738441   PSRN_gt: 25.738441 PSNR_gt_sm: 12.183239
Iteration 00048    Loss 0.002484   PSNR_noisy: 26.048036   PSRN_gt: 26.048036 PSNR_gt_sm: 12.268155
Iteration 00049    Loss 0.002444   PSNR_noisy: 26.118525   PSRN_gt: 26.118525 PSNR_gt_sm: 12.353460
Iteration 00050    Loss 0.002403   PSNR_noisy: 26.191638   PSRN_gt: 26.191638 PSNR_gt_sm: 12.439388
Iteration 00051    Loss 0.002373   PSNR_noisy: 26.247736   PSRN_gt: 26.247736 PSNR_gt_sm: 12.524837
Iteration 00052    Loss 0.002275   PSNR_noisy: 26.430900   PSRN_gt: 26.430900 PSNR_gt_sm: 12.609702
Iteration 00053    Loss 0.002513   PSNR_noisy: 25.998337   PSRN_gt: 25.998337 PSNR_gt_sm: 12.694596
Iteration 00054    Loss 0.002288   PSNR_noisy: 26.405621   PSRN_gt: 26.405621 PSNR_gt_sm: 12.778094
Iteration 00055    Loss 0.002412   PSNR_noisy: 26.176227   PSRN_gt: 26.176227 PSNR_gt_sm: 12.864199
Iteration 00056    Loss 0.002316   PSNR_noisy: 26.352390   PSRN_gt: 26.352390 PSNR_gt_sm: 12.949491
Iteration 00057    Loss 0.002298   PSNR_noisy: 26.387134   PSRN_gt: 26.387134 PSNR_gt_sm: 13.034810
Iteration 00058    Loss 0.002260   PSNR_noisy: 26.459774   PSRN_gt: 26.459774 PSNR_gt_sm: 13.119401
Iteration 00059    Loss 0.002243   PSNR_noisy: 26.491618   PSRN_gt: 26.491618 PSNR_gt_sm: 13.204936
Iteration 00060    Loss 0.002153   PSNR_noisy: 26.668586   PSRN_gt: 26.668586 PSNR_gt_sm: 13.291084
Iteration 00061    Loss 0.002104   PSNR_noisy: 26.768845   PSRN_gt: 26.768845 PSNR_gt_sm: 13.377159
Iteration 00062    Loss 0.002083   PSNR_noisy: 26.813396   PSRN_gt: 26.813396 PSNR_gt_sm: 13.463129
Iteration 00063    Loss 0.002053   PSNR_noisy: 26.876038   PSRN_gt: 26.876038 PSNR_gt_sm: 13.547514
Iteration 00064    Loss 0.002092   PSNR_noisy: 26.794148   PSRN_gt: 26.794148 PSNR_gt_sm: 13.632056
Iteration 00065    Loss 0.002158   PSNR_noisy: 26.660097   PSRN_gt: 26.660097 PSNR_gt_sm: 13.715269
