Iteration 00050    Loss 0.063044   PSNR_noisy: 12.134191   PSRN_gt: 12.134191 PSNR_gt_sm: 8.952074
Iteration 00051    Loss 0.065197   PSNR_noisy: 11.973087   PSRN_gt: 11.973087 PSNR_gt_sm: 8.994872
Iteration 00052    Loss 0.063595   PSNR_noisy: 12.081552   PSRN_gt: 12.081552 PSNR_gt_sm: 9.038203
Iteration 00053    Loss 0.063597   PSNR_noisy: 12.088953   PSRN_gt: 12.088953 PSNR_gt_sm: 9.081613
Iteration 00054    Loss 0.069898   PSNR_noisy: 11.674513   PSRN_gt: 11.674513 PSNR_gt_sm: 9.123321
Iteration 00055    Loss 0.062292   PSNR_noisy: 12.191695   PSRN_gt: 12.191695 PSNR_gt_sm: 9.167505
Iteration 00056    Loss 0.060072   PSNR_noisy: 12.358233   PSRN_gt: 12.358233 PSNR_gt_sm: 9.211829
Iteration 00057    Loss 0.062127   PSNR_noisy: 12.218820   PSRN_gt: 12.218820 PSNR_gt_sm: 9.255538
Iteration 00058    Loss 0.058876   PSNR_noisy: 12.460242   PSRN_gt: 12.460242 PSNR_gt_sm: 9.299469
Iteration 00059    Loss 0.056927   PSNR_noisy: 12.611646   PSRN_gt: 12.611646 PSNR_gt_sm: 9.343823
Iteration 00060    Loss 0.055777   PSNR_noisy: 12.710433   PSRN_gt: 12.710433 PSNR_gt_sm: 9.388388
Iteration 00061    Loss 0.056600   PSNR_noisy: 12.640896   PSRN_gt: 12.640896 PSNR_gt_sm: 9.431954
Iteration 00062    Loss 0.057770   PSNR_noisy: 12.548089   PSRN_gt: 12.548089 PSNR_gt_sm: 9.475460
Iteration 00063    Loss 0.057790   PSNR_noisy: 12.551989   PSRN_gt: 12.551989 PSNR_gt_sm: 9.518840
Iteration 00064    Loss 0.054085   PSNR_noisy: 12.858631   PSRN_gt: 12.858631 PSNR_gt_sm: 9.563667
Iteration 00065    Loss 0.056579   PSNR_noisy: 12.650890   PSRN_gt: 12.650890 PSNR_gt_sm: 9.606880
Iteration 00066    Loss 0.057023   PSNR_noisy: 12.627643   PSRN_gt: 12.627643 PSNR_gt_sm: 9.649794
Iteration 00067    Loss 0.053570   PSNR_noisy: 12.904526   PSRN_gt: 12.904526 PSNR_gt_sm: 9.694506
Iteration 00068    Loss 0.052478   PSNR_noisy: 12.999118   PSRN_gt: 12.999118 PSNR_gt_sm: 9.738655
Iteration 00069    Loss 0.058031   PSNR_noisy: 12.551798   PSRN_gt: 12.551798 PSNR_gt_sm: 9.781714
Iteration 00070    Loss 0.053372   PSNR_noisy: 12.937872   PSRN_gt: 12.937872 PSNR_gt_sm: 9.826657
Iteration 00071    Loss 0.052047   PSNR_noisy: 13.056992   PSRN_gt: 13.056992 PSNR_gt_sm: 9.871204
Iteration 00072    Loss 0.052581   PSNR_noisy: 13.006949   PSRN_gt: 13.006949 PSNR_gt_sm: 9.914822
Iteration 00073    Loss 0.051913   PSNR_noisy: 13.071253   PSRN_gt: 13.071253 PSNR_gt_sm: 9.958294
Iteration 00074    Loss 0.049039   PSNR_noisy: 13.326362   PSRN_gt: 13.326362 PSNR_gt_sm: 10.002947
Iteration 00075    Loss 0.051671   PSNR_noisy: 13.094173   PSRN_gt: 13.094173 PSNR_gt_sm: 10.046120
Iteration 00076    Loss 0.050630   PSNR_noisy: 13.180765   PSRN_gt: 13.180765 PSNR_gt_sm: 10.089208
Iteration 00077    Loss 0.050884   PSNR_noisy: 13.174137   PSRN_gt: 13.174137 PSNR_gt_sm: 10.132319
Iteration 00078    Loss 0.051087   PSNR_noisy: 13.158531   PSRN_gt: 13.158531 PSNR_gt_sm: 10.174981
Iteration 00079    Loss 0.054234   PSNR_noisy: 12.884940   PSRN_gt: 12.884940 PSNR_gt_sm: 10.215649
Iteration 00080    Loss 0.050001   PSNR_noisy: 13.247708   PSRN_gt: 13.247708 PSNR_gt_sm: 10.257534
Iteration 00081    Loss 0.047866   PSNR_noisy: 13.440721   PSRN_gt: 13.440721 PSNR_gt_sm: 10.299741
Iteration 00082    Loss 0.049635   PSNR_noisy: 13.282490   PSRN_gt: 13.282490 PSNR_gt_sm: 10.341801
Iteration 00083    Loss 0.051662   PSNR_noisy: 13.102852   PSRN_gt: 13.102852 PSNR_gt_sm: 10.382693
Iteration 00084    Loss 0.048358   PSNR_noisy: 13.409353   PSRN_gt: 13.409353 PSNR_gt_sm: 10.424562
Iteration 00085    Loss 0.049683   PSNR_noisy: 13.291254   PSRN_gt: 13.291254 PSNR_gt_sm: 10.465981
Iteration 00086    Loss 0.047728   PSNR_noisy: 13.492008   PSRN_gt: 13.492008 PSNR_gt_sm: 10.508307
