Iteration 00000    Loss 0.118040   PSNR_noisy: 9.279697   PSRN_gt: 9.279697 PSNR_gt_sm: 9.279697
Iteration 00001    Loss 0.064452   PSNR_noisy: 11.907614   PSRN_gt: 11.907614 PSNR_gt_sm: 9.311120
Iteration 00002    Loss 0.063432   PSNR_noisy: 11.976917   PSRN_gt: 11.976917 PSNR_gt_sm: 9.353817
Iteration 00003    Loss 0.037026   PSNR_noisy: 14.314955   PSRN_gt: 14.314955 PSNR_gt_sm: 9.413588
Iteration 00004    Loss 0.021679   PSNR_noisy: 16.639574   PSRN_gt: 16.639574 PSNR_gt_sm: 9.488166
Iteration 00005    Loss 0.017413   PSNR_noisy: 17.591225   PSRN_gt: 17.591225 PSNR_gt_sm: 9.576027
Iteration 00006    Loss 0.012465   PSNR_noisy: 19.043028   PSRN_gt: 19.043028 PSNR_gt_sm: 9.665742
Iteration 00007    Loss 0.013267   PSNR_noisy: 18.772164   PSRN_gt: 18.772164 PSNR_gt_sm: 9.755510
Iteration 00008    Loss 0.009510   PSNR_noisy: 20.218334   PSRN_gt: 20.218334 PSNR_gt_sm: 9.844680
Iteration 00009    Loss 0.008447   PSNR_noisy: 20.733176   PSRN_gt: 20.733176 PSNR_gt_sm: 9.933080
Iteration 00010    Loss 0.007486   PSNR_noisy: 21.257536   PSRN_gt: 21.257536 PSNR_gt_sm: 10.021886
Iteration 00011    Loss 0.006794   PSNR_noisy: 21.678802   PSRN_gt: 21.678802 PSNR_gt_sm: 10.107247
Iteration 00012    Loss 0.006543   PSNR_noisy: 21.842365   PSRN_gt: 21.842365 PSNR_gt_sm: 10.193708
Iteration 00013    Loss 0.005630   PSNR_noisy: 22.495021   PSRN_gt: 22.495021 PSNR_gt_sm: 10.279764
Iteration 00014    Loss 0.006488   PSNR_noisy: 21.879221   PSRN_gt: 21.879221 PSNR_gt_sm: 10.366813
Iteration 00015    Loss 0.004543   PSNR_noisy: 23.426178   PSRN_gt: 23.426178 PSNR_gt_sm: 10.453716
Iteration 00016    Loss 0.004746   PSNR_noisy: 23.236796   PSRN_gt: 23.236796 PSNR_gt_sm: 10.539592
Iteration 00017    Loss 0.004886   PSNR_noisy: 23.110782   PSRN_gt: 23.110782 PSNR_gt_sm: 10.625135
Iteration 00018    Loss 0.004883   PSNR_noisy: 23.113486   PSRN_gt: 23.113486 PSNR_gt_sm: 10.710644
Iteration 00019    Loss 0.005074   PSNR_noisy: 22.946281   PSRN_gt: 22.946281 PSNR_gt_sm: 10.795319
Iteration 00020    Loss 0.004354   PSNR_noisy: 23.611185   PSRN_gt: 23.611185 PSNR_gt_sm: 10.881203
Iteration 00021    Loss 0.004313   PSNR_noisy: 23.652587   PSRN_gt: 23.652587 PSNR_gt_sm: 10.966850
Iteration 00022    Loss 0.004007   PSNR_noisy: 23.971779   PSRN_gt: 23.971779 PSNR_gt_sm: 11.051799
Iteration 00023    Loss 0.003795   PSNR_noisy: 24.207739   PSRN_gt: 24.207739 PSNR_gt_sm: 11.136971
Iteration 00024    Loss 0.003836   PSNR_noisy: 24.161216   PSRN_gt: 24.161216 PSNR_gt_sm: 11.221695
Iteration 00025    Loss 0.003941   PSNR_noisy: 24.043921   PSRN_gt: 24.043921 PSNR_gt_sm: 11.307317
Iteration 00026    Loss 0.003598   PSNR_noisy: 24.439315   PSRN_gt: 24.439315 PSNR_gt_sm: 11.393814
Iteration 00027    Loss 0.003399   PSNR_noisy: 24.686144   PSRN_gt: 24.686144 PSNR_gt_sm: 11.480294
Iteration 00028    Loss 0.003524   PSNR_noisy: 24.530140   PSRN_gt: 24.530140 PSNR_gt_sm: 11.565609
Iteration 00029    Loss 0.003495   PSNR_noisy: 24.565818   PSRN_gt: 24.565818 PSNR_gt_sm: 11.651017
Iteration 00030    Loss 0.003637   PSNR_noisy: 24.392114   PSRN_gt: 24.392114 PSNR_gt_sm: 11.736782
Iteration 00031    Loss 0.003562   PSNR_noisy: 24.483067   PSRN_gt: 24.483067 PSNR_gt_sm: 11.822123
Iteration 00032    Loss 0.003197   PSNR_noisy: 24.952981   PSRN_gt: 24.952981 PSNR_gt_sm: 11.906751
Iteration 00033    Loss 0.003410   PSNR_noisy: 24.672659   PSRN_gt: 24.672659 PSNR_gt_sm: 11.992058
