Iteration 00050    Loss 0.002866   PSNR_noisy: 25.426795   PSRN_gt: 25.426795 PSNR_gt_sm: 13.266401
Iteration 00051    Loss 0.002661   PSNR_noisy: 25.749193   PSRN_gt: 25.749193 PSNR_gt_sm: 13.349744
Iteration 00052    Loss 0.002544   PSNR_noisy: 25.945183   PSRN_gt: 25.945183 PSNR_gt_sm: 13.432225
Iteration 00053    Loss 0.002583   PSNR_noisy: 25.878986   PSRN_gt: 25.878986 PSNR_gt_sm: 13.516001
Iteration 00054    Loss 0.002850   PSNR_noisy: 25.452254   PSRN_gt: 25.452254 PSNR_gt_sm: 13.603266
Iteration 00055    Loss 0.002731   PSNR_noisy: 25.637330   PSRN_gt: 25.637330 PSNR_gt_sm: 13.689115
Iteration 00056    Loss 0.002448   PSNR_noisy: 26.111910   PSRN_gt: 26.111910 PSNR_gt_sm: 13.773832
Iteration 00057    Loss 0.002535   PSNR_noisy: 25.960632   PSRN_gt: 25.960632 PSNR_gt_sm: 13.858228
Iteration 00058    Loss 0.002504   PSNR_noisy: 26.014088   PSRN_gt: 26.014088 PSNR_gt_sm: 13.940986
Iteration 00059    Loss 0.002373   PSNR_noisy: 26.246758   PSRN_gt: 26.246758 PSNR_gt_sm: 14.023840
Iteration 00060    Loss 0.002477   PSNR_noisy: 26.060798   PSRN_gt: 26.060798 PSNR_gt_sm: 14.106486
Iteration 00061    Loss 0.002555   PSNR_noisy: 25.925813   PSRN_gt: 25.925813 PSNR_gt_sm: 14.189413
Iteration 00062    Loss 0.002298   PSNR_noisy: 26.386420   PSRN_gt: 26.386420 PSNR_gt_sm: 14.274116
Iteration 00063    Loss 0.002446   PSNR_noisy: 26.114669   PSRN_gt: 26.114669 PSNR_gt_sm: 14.360973
Iteration 00064    Loss 0.002299   PSNR_noisy: 26.384575   PSRN_gt: 26.384575 PSNR_gt_sm: 14.446384
Iteration 00065    Loss 0.002284   PSNR_noisy: 26.413273   PSRN_gt: 26.413273 PSNR_gt_sm: 14.531149
Iteration 00066    Loss 0.002138   PSNR_noisy: 26.699567   PSRN_gt: 26.699567 PSNR_gt_sm: 14.614644
Iteration 00067    Loss 0.002223   PSNR_noisy: 26.530300   PSRN_gt: 26.530300 PSNR_gt_sm: 14.699135
Iteration 00068    Loss 0.002294   PSNR_noisy: 26.393192   PSRN_gt: 26.393192 PSNR_gt_sm: 14.782430
Iteration 00069    Loss 0.002124   PSNR_noisy: 26.728642   PSRN_gt: 26.728642 PSNR_gt_sm: 14.866292
Iteration 00070    Loss 0.002228   PSNR_noisy: 26.520415   PSRN_gt: 26.520415 PSNR_gt_sm: 14.948534
Iteration 00071    Loss 0.002283   PSNR_noisy: 26.415684   PSRN_gt: 26.415684 PSNR_gt_sm: 15.032911
Iteration 00072    Loss 0.002162   PSNR_noisy: 26.651365   PSRN_gt: 26.651365 PSNR_gt_sm: 15.116447
Iteration 00073    Loss 0.002128   PSNR_noisy: 26.720536   PSRN_gt: 26.720536 PSNR_gt_sm: 15.200137
Iteration 00074    Loss 0.002063   PSNR_noisy: 26.855599   PSRN_gt: 26.855599 PSNR_gt_sm: 15.284793
Iteration 00075    Loss 0.002183   PSNR_noisy: 26.610309   PSRN_gt: 26.610309 PSNR_gt_sm: 15.369398
Iteration 00076    Loss 0.002081   PSNR_noisy: 26.817403   PSRN_gt: 26.817403 PSNR_gt_sm: 15.451498
Iteration 00077    Loss 0.001996   PSNR_noisy: 26.997630   PSRN_gt: 26.997630 PSNR_gt_sm: 15.532964
Iteration 00078    Loss 0.002019   PSNR_noisy: 26.948257   PSRN_gt: 26.948257 PSNR_gt_sm: 15.615884
Iteration 00079    Loss 0.001998   PSNR_noisy: 26.993909   PSRN_gt: 26.993909 PSNR_gt_sm: 15.698936
Iteration 00080    Loss 0.002070   PSNR_noisy: 26.840418   PSRN_gt: 26.840418 PSNR_gt_sm: 15.784383
Iteration 00081    Loss 0.001970   PSNR_noisy: 27.055616   PSRN_gt: 27.055616 PSNR_gt_sm: 15.868192
Iteration 00082    Loss 0.002030   PSNR_noisy: 26.925567   PSRN_gt: 26.925567 PSNR_gt_sm: 15.952339
Iteration 00083    Loss 0.002001   PSNR_noisy: 26.986507   PSRN_gt: 26.986507 PSNR_gt_sm: 16.036703
Iteration 00084    Loss 0.001991   PSNR_noisy: 27.009768   PSRN_gt: 27.009768 PSNR_gt_sm: 16.118688
Iteration 00085    Loss 0.001990   PSNR_noisy: 27.010681   PSRN_gt: 27.010681 PSNR_gt_sm: 16.198184
Iteration 00086    Loss 0.001905   PSNR_noisy: 27.202072   PSRN_gt: 27.202072 PSNR_gt_sm: 16.278538
Iteration 00087    Loss 0.001849   PSNR_noisy: 27.330942   PSRN_gt: 27.330942 PSNR_gt_sm: 16.360861
Iteration 00088    Loss 0.001819   PSNR_noisy: 27.400723   PSRN_gt: 27.400723 PSNR_gt_sm: 16.445273
Iteration 00089    Loss 0.001779   PSNR_noisy: 27.497390   PSRN_gt: 27.497390 PSNR_gt_sm: 16.528576
Iteration 00090    Loss 0.001846   PSNR_noisy: 27.338387   PSRN_gt: 27.338387 PSNR_gt_sm: 16.611375
