Iteration 00050    Loss 0.024712   PSNR_noisy: 16.798560   PSRN_gt: 19.255974 PSNR_gt_sm: 13.448499
Iteration 00051    Loss 0.024804   PSNR_noisy: 16.786016   PSRN_gt: 19.231903 PSNR_gt_sm: 13.509009
Iteration 00052    Loss 0.024995   PSNR_noisy: 16.774553   PSRN_gt: 19.213528 PSNR_gt_sm: 13.569917
Iteration 00053    Loss 0.024727   PSNR_noisy: 16.808193   PSRN_gt: 19.269806 PSNR_gt_sm: 13.630587
Iteration 00054    Loss 0.024767   PSNR_noisy: 16.785203   PSRN_gt: 19.232496 PSNR_gt_sm: 13.690608
Iteration 00055    Loss 0.024595   PSNR_noisy: 16.814475   PSRN_gt: 19.286404 PSNR_gt_sm: 13.751506
Iteration 00056    Loss 0.024520   PSNR_noisy: 16.823295   PSRN_gt: 19.305029 PSNR_gt_sm: 13.812291
Iteration 00057    Loss 0.024395   PSNR_noisy: 16.876254   PSRN_gt: 19.401437 PSNR_gt_sm: 13.873801
Iteration 00058    Loss 0.024333   PSNR_noisy: 16.913574   PSRN_gt: 19.463101 PSNR_gt_sm: 13.934946
Iteration 00059    Loss 0.024403   PSNR_noisy: 16.886137   PSRN_gt: 19.416925 PSNR_gt_sm: 13.995519
Iteration 00060    Loss 0.024212   PSNR_noisy: 16.884009   PSRN_gt: 19.408425 PSNR_gt_sm: 14.054627
Iteration 00061    Loss 0.024170   PSNR_noisy: 16.913277   PSRN_gt: 19.458928 PSNR_gt_sm: 14.113402
Iteration 00062    Loss 0.024090   PSNR_noisy: 16.911447   PSRN_gt: 19.456165 PSNR_gt_sm: 14.171464
Iteration 00063    Loss 0.024151   PSNR_noisy: 16.932252   PSRN_gt: 19.493402 PSNR_gt_sm: 14.229093
Iteration 00064    Loss 0.024091   PSNR_noisy: 16.912549   PSRN_gt: 19.454904 PSNR_gt_sm: 14.285893
Iteration 00065    Loss 0.024115   PSNR_noisy: 16.935419   PSRN_gt: 19.499208 PSNR_gt_sm: 14.343152
Iteration 00066    Loss 0.024017   PSNR_noisy: 16.973275   PSRN_gt: 19.572725 PSNR_gt_sm: 14.401021
Iteration 00067    Loss 0.024045   PSNR_noisy: 16.975849   PSRN_gt: 19.573229 PSNR_gt_sm: 14.458761
Iteration 00068    Loss 0.023845   PSNR_noisy: 17.016770   PSRN_gt: 19.650692 PSNR_gt_sm: 14.517015
Iteration 00069    Loss 0.023859   PSNR_noisy: 17.015843   PSRN_gt: 19.650814 PSNR_gt_sm: 14.574608
Iteration 00070    Loss 0.023686   PSNR_noisy: 17.033924   PSRN_gt: 19.678874 PSNR_gt_sm: 14.631738
Iteration 00071    Loss 0.023781   PSNR_noisy: 17.045016   PSRN_gt: 19.702829 PSNR_gt_sm: 14.688687
Iteration 00072    Loss 0.023678   PSNR_noisy: 17.050957   PSRN_gt: 19.711356 PSNR_gt_sm: 14.744468
Iteration 00073    Loss 0.023687   PSNR_noisy: 17.057991   PSRN_gt: 19.728651 PSNR_gt_sm: 14.800706
Iteration 00074    Loss 0.023600   PSNR_noisy: 17.092759   PSRN_gt: 19.789632 PSNR_gt_sm: 14.856557
